Date and Time:                Thu Sep 8 16:57:01.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         2.5
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              277
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



255.33896	306
255.36023	312
255.38152	298
255.40279	309
255.42406	304
255.44533	312
255.4666	305
255.48787	310
255.50914	308
255.53041	304
255.55168	311
255.57295	309
255.59422	305
255.61549	310
255.63676	307
255.65805	311
255.67931	308
255.70058	306
255.72185	308
255.74312	303
255.76439	307
255.78566	311
255.80693	310
255.8282	308
255.84947	303
255.87074	308
255.89201	307
255.91328	305
255.93454	311
255.95581	312
255.97708	312
255.99835	314
256.01962	306
256.04089	312
256.06216	301
256.08344	308
256.10468	310
256.12595	308
256.14722	307
256.16849	308
256.18976	309
256.21103	310
256.2323	304
256.25354	308
256.27481	307
256.29608	309
256.31735	308
256.33862	302
256.35986	305
256.38113	312
256.4024	305
256.42368	307
256.44495	307
256.46619	305
256.48746	308
256.50873	304
256.53	295
256.55124	306
256.57251	309
256.59378	307
256.61505	310
256.63629	300
256.65756	304
256.67883	307
256.7001	303
256.72134	302
256.74261	312
256.76389	303
256.78513	309
256.8064	307
256.82767	307
256.84891	309
256.87018	318
256.89145	304
256.91269	310
256.93396	308
256.95523	315
256.97647	308
256.99774	306
257.01901	305
257.04025	305
257.06152	310
257.08276	314
257.10403	309
257.12531	307
257.14655	303
257.16782	311
257.18906	305
257.21033	306
257.23157	312
257.25284	310
257.27411	310
257.29535	301
257.31662	303
257.33786	307
257.35913	306
257.38037	307
257.40164	301
257.42288	302
257.44415	307
257.46539	309
257.48666	306
257.5079	307
257.52917	312
257.55042	313
257.57169	302
257.59293	303
257.6142	308
257.63544	309
257.65668	308
257.67795	308
257.69919	305
257.72046	305
257.7417	305
257.76297	307
257.78421	308
257.80545	308
257.82672	306
257.84796	305
257.86923	309
257.89047	304
257.91171	308
257.93298	309
257.95422	306
257.97546	307
257.99673	313
258.01797	309
258.03922	304
258.06049	306
258.08173	309
258.10297	311
258.12424	315
258.14548	306
