Date and Time:                Thu Sep 8 17:17:13.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         2.5
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              277
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



255.33896	312
255.36023	301
255.38152	297
255.40279	306
255.42406	304
255.44533	308
255.4666	302
255.48787	302
255.50914	302
255.53041	301
255.55168	307
255.57295	307
255.59422	309
255.61549	299
255.63676	299
255.65805	305
255.67931	310
255.70058	306
255.72185	304
255.74312	304
255.76439	308
255.78566	302
255.80693	306
255.8282	304
255.84947	309
255.87074	303
255.89201	303
255.91328	297
255.93454	301
255.95581	303
255.97708	307
255.99835	312
256.01962	308
256.04089	306
256.06216	308
256.08344	304
256.10468	305
256.12595	306
256.14722	309
256.16849	305
256.18976	304
256.21103	306
256.2323	303
256.25354	298
256.27481	300
256.29608	305
256.31735	306
256.33862	305
256.35986	302
256.38113	306
256.4024	301
256.42368	301
256.44495	307
256.46619	302
256.48746	304
256.50873	309
256.53	299
256.55124	305
256.57251	306
256.59378	307
256.61505	304
256.63629	302
256.65756	308
256.67883	300
256.7001	302
256.72134	306
256.74261	304
256.76389	307
256.78513	301
256.8064	301
256.82767	302
256.84891	301
256.87018	303
256.89145	300
256.91269	304
256.93396	303
256.95523	309
256.97647	307
256.99774	303
257.01901	305
257.04025	302
257.06152	304
257.08276	302
257.10403	306
257.12531	301
257.14655	304
257.16782	305
257.18906	305
257.21033	303
257.23157	307
257.25284	307
257.27411	307
257.29535	302
257.31662	305
257.33786	308
257.35913	302
257.38037	305
257.40164	304
257.42288	306
257.44415	302
257.46539	302
257.48666	309
257.5079	309
257.52917	305
257.55042	301
257.57169	307
257.59293	300
257.6142	304
257.63544	302
257.65668	308
257.67795	302
257.69919	303
257.72046	305
257.7417	306
257.76297	305
257.78421	308
257.80545	301
257.82672	305
257.84796	302
257.86923	305
257.89047	302
257.91171	311
257.93298	305
257.95422	307
257.97546	299
257.99673	306
258.01797	305
258.03922	298
258.06049	302
258.08173	308
258.10297	310
258.12424	304
258.14548	307
