Date and Time:                Thu Sep 8 17:25:53.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         250
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              277
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



255.33896	883
255.36023	838
255.38152	809
255.40279	796
255.42406	828
255.44533	814
255.4666	795
255.48787	813
255.50914	778
255.53041	787
255.55168	793
255.57295	845
255.59422	808
255.61549	810
255.63676	787
255.65805	776
255.67931	811
255.70058	766
255.72185	854
255.74312	777
255.76439	770
255.78566	784
255.80693	816
255.8282	784
255.84947	772
255.87074	798
255.89201	768
255.91328	767
255.93454	734
255.95581	750
255.97708	734
255.99835	762
256.01962	753
256.04089	767
256.06216	776
256.08344	805
256.10468	771
256.12595	789
256.14722	798
256.16849	818
256.18976	746
256.21103	795
256.2323	745
256.25354	760
256.27481	804
256.29608	777
256.31735	758
256.33862	730
256.35986	804
256.38113	753
256.4024	740
256.42368	758
256.44495	756
256.46619	781
256.48746	773
256.50873	780
256.53	760
256.55124	871
256.57251	756
256.59378	735
256.61505	762
256.63629	722
256.65756	842
256.67883	724
256.7001	736
256.72134	723
256.74261	754
256.76389	751
256.78513	798
256.8064	768
256.82767	724
256.84891	761
256.87018	818
256.89145	738
256.91269	768
256.93396	767
256.95523	754
256.97647	701
256.99774	740
257.01901	754
257.04025	718
257.06152	759
257.08276	714
257.10403	734
257.12531	702
257.14655	724
257.16782	717
257.18906	736
257.21033	725
257.23157	743
257.25284	726
257.27411	704
257.29535	727
257.31662	718
257.33786	693
257.35913	693
257.38037	752
257.40164	716
257.42288	706
257.44415	696
257.46539	689
257.48666	683
257.5079	699
257.52917	716
257.55042	668
257.57169	703
257.59293	676
257.6142	717
257.63544	750
257.65668	799
257.67795	678
257.69919	693
257.72046	710
257.7417	677
257.76297	726
257.78421	702
257.80545	682
257.82672	727
257.84796	692
257.86923	731
257.89047	659
257.91171	680
257.93298	681
257.95422	690
257.97546	678
257.99673	751
258.01797	689
258.03922	672
258.06049	683
258.08173	722
258.10297	681
258.12424	678
258.14548	659
258.16672	675
