Date and Time:                Thu Sep 8 17:00:23.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.25
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              277
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



255.33896	5345
255.36023	5138
255.38152	5098
255.40279	5150
255.42406	5163
255.44533	5208
255.4666	5206
255.48787	5188
255.50914	5204
255.53041	5218
255.55168	5198
255.57295	5153
255.59422	5165
255.61549	5195
255.63676	5217
255.65805	5257
255.67931	5244
255.70058	5264
255.72185	5250
255.74312	5252
255.76439	5238
255.78566	5260
255.80693	5248
255.8282	5255
255.84947	5257
255.87074	5229
255.89201	5223
255.91328	5210
255.93454	5202
255.95581	5290
255.97708	5308
255.99835	5342
256.01962	5370
256.04089	5321
256.06216	5317
256.08344	5323
256.10468	5359
256.12595	5386
256.14722	5450
256.16849	5453
256.18976	5475
256.21103	5486
256.2323	5488
256.25354	5462
256.27481	5455
256.29608	5513
256.31735	5519
256.33862	5529
256.35986	5505
256.38113	5493
256.4024	5550
256.42368	5512
256.44495	5561
256.46619	5539
256.48746	5525
256.50873	5522
256.53	5530
256.55124	5532
256.57251	5558
256.59378	5596
256.61505	5601
256.63629	5673
256.65756	5674
256.67883	5694
256.7001	5655
256.72134	5684
256.74261	5685
256.76389	5632
256.78513	5676
256.8064	5661
256.82767	5676
256.84891	5639
256.87018	5610
256.89145	5614
256.91269	5646
256.93396	5661
256.95523	5640
256.97647	5681
256.99774	5652
257.01901	5668
257.04025	5633
257.06152	5670
257.08276	5694
257.10403	5700
257.12531	5724
257.14655	5726
257.16782	5778
257.18906	5739
257.21033	5724
257.23157	5701
257.25284	5748
257.27411	5766
257.29535	5784
257.31662	5756
257.33786	5783
257.35913	5717
257.38037	5759
257.40164	5783
257.42288	5807
257.44415	5871
257.46539	5876
257.48666	5868
257.5079	5862
257.52917	5833
257.55042	5874
257.57169	5903
257.59293	5968
257.6142	5990
257.63544	5981
257.65668	6000
257.67795	6036
257.69919	6070
257.72046	6061
257.7417	6064
257.76297	6052
257.78421	6035
257.80545	6051
