Date and Time:                Thu Oct 27 14:20:06.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         4
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              277.1
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



255.43948	308
255.46075	306
255.48203	306
255.5033	308
255.52457	312
255.54584	310
255.56711	305
255.58838	305
255.60965	307
255.63092	306
255.65221	307
255.67348	310
255.69475	301
255.71602	306
255.73729	307
255.75854	307
255.77982	307
255.80109	308
255.82236	313
255.84363	301
255.8649	306
255.88617	309
255.90744	312
255.92871	313
255.94998	307
255.97125	308
255.99251	306
256.01379	317
256.03506	307
256.0563	311
256.07758	304
256.09885	305
256.12012	314
256.14139	307
256.16266	304
256.18393	313
256.2052	309
256.22644	311
256.24771	305
256.26898	308
256.29025	304
256.31152	308
256.33279	308
256.35403	307
256.37531	313
256.39658	305
256.41785	303
256.43912	308
256.46036	305
256.48163	307
256.5029	304
256.52417	310
256.54544	307
256.56668	312
256.58795	308
256.60922	303
256.63049	309
256.65173	305
256.673	315
256.69427	306
256.71552	309
256.73679	309
256.75806	304
256.77933	307
256.80057	307
256.82184	304
256.84311	304
256.86435	303
256.88562	309
256.90689	309
256.92813	307
256.9494	308
256.97067	311
256.99191	305
257.01318	314
257.03445	308
257.05569	310
257.07697	310
257.09821	309
257.11948	302
257.14075	306
257.16199	308
257.18326	300
257.2045	306
257.22577	299
257.24704	306
257.26828	311
257.28955	304
257.31079	302
257.33206	311
257.3533	309
257.37457	306
257.39581	310
257.41708	308
257.43832	310
257.45959	312
257.48083	308
257.50211	306
257.52335	312
257.54462	309
257.56586	304
257.58713	308
257.60837	309
257.62964	311
257.65088	306
257.67215	305
257.69339	302
257.71466	308
257.7359	304
257.75714	298
257.77841	301
257.79965	305
257.82092	308
257.84216	307
257.86343	310
257.88467	305
257.90591	311
257.92719	302
257.94843	305
257.96967	302
257.99094	306
258.01218	306
258.03342	308
258.05469	304
258.07593	301
258.09717	313
258.11844	312
258.13968	313
258.16092	309
258.18219	307
258.20343	307
258.22467	304
258.24594	306
