Date and Time:                Thu Oct 27 13:55:39.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         4
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              277.1
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



255.43948	308
255.46075	311
255.48203	307
255.5033	311
255.52457	314
255.54584	306
255.56711	311
255.58838	313
255.60965	311
255.63092	307
255.65221	309
255.67348	308
255.69475	314
255.71602	308
255.73729	310
255.75854	319
255.77982	309
255.80109	309
255.82236	311
255.84363	313
255.8649	305
255.88617	310
255.90744	309
255.92871	308
255.94998	307
255.97125	307
255.99251	307
256.01379	313
256.03506	308
256.0563	319
256.07758	308
256.09885	308
256.12012	309
256.14139	305
256.16266	301
256.18393	311
256.2052	314
256.22644	308
256.24771	308
256.26898	315
256.29025	311
256.31152	303
256.33279	300
256.35403	305
256.37531	308
256.39658	311
256.41785	308
256.43912	309
256.46036	312
256.48163	306
256.5029	310
256.52417	308
256.54544	309
256.56668	309
256.58795	304
256.60922	305
256.63049	309
256.65173	309
256.673	310
256.69427	309
256.71552	311
256.73679	311
256.75806	308
256.77933	300
256.80057	309
256.82184	309
256.84311	305
256.86435	310
256.88562	306
256.90689	306
256.92813	310
256.9494	302
256.97067	316
256.99191	308
257.01318	313
257.03445	313
257.05569	306
257.07697	302
257.09821	308
257.11948	302
257.14075	304
257.16199	313
257.18326	311
257.2045	304
257.22577	310
257.24704	310
257.26828	307
257.28955	315
257.31079	308
257.33206	309
257.3533	308
257.37457	310
257.39581	308
257.41708	307
257.43832	308
257.45959	309
257.48083	307
257.50211	306
257.52335	307
257.54462	306
257.56586	310
257.58713	306
257.60837	302
257.62964	305
257.65088	303
257.67215	306
257.69339	308
257.71466	310
257.7359	306
257.75714	305
257.77841	312
257.79965	306
257.82092	312
257.84216	305
257.86343	304
257.88467	309
257.90591	310
257.92719	301
257.94843	306
257.96967	310
257.99094	306
258.01218	311
258.03342	309
258.05469	313
258.07593	302
258.09717	310
258.11844	306
258.13968	301
258.16092	315
258.18219	308
258.20343	304
258.22467	306
258.24594	303
