Date and Time:                Thu Oct 27 14:21:27.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         4
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              277.1
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



255.43948	308
255.46075	304
255.48203	307
255.5033	303
255.52457	311
255.54584	309
255.56711	305
255.58838	308
255.60965	305
255.63092	313
255.65221	301
255.67348	311
255.69475	316
255.71602	303
255.73729	311
255.75854	306
255.77982	315
255.80109	300
255.82236	309
255.84363	301
255.8649	308
255.88617	312
255.90744	308
255.92871	301
255.94998	303
255.97125	310
255.99251	311
256.01379	305
256.03506	304
256.0563	305
256.07758	308
256.09885	309
256.12012	305
256.14139	313
256.16266	304
256.18393	304
256.2052	307
256.22644	311
256.24771	310
256.26898	299
256.29025	309
256.31152	309
256.33279	303
256.35403	299
256.37531	313
256.39658	309
256.41785	306
256.43912	307
256.46036	307
256.48163	308
256.5029	305
256.52417	314
256.54544	313
256.56668	311
256.58795	309
256.60922	307
256.63049	309
256.65173	315
256.673	303
256.69427	309
256.71552	305
256.73679	309
256.75806	305
256.77933	304
256.80057	307
256.82184	300
256.84311	309
256.86435	302
256.88562	310
256.90689	310
256.92813	307
256.9494	305
256.97067	308
256.99191	308
257.01318	308
257.03445	313
257.05569	312
257.07697	306
257.09821	311
257.11948	304
257.14075	305
257.16199	312
257.18326	309
257.2045	308
257.22577	304
257.24704	309
257.26828	307
257.28955	310
257.31079	306
257.33206	304
257.3533	304
257.37457	305
257.39581	304
257.41708	304
257.43832	311
257.45959	309
257.48083	296
257.50211	313
257.52335	307
257.54462	302
257.56586	307
257.58713	299
257.60837	305
257.62964	307
257.65088	304
257.67215	306
257.69339	307
257.71466	302
257.7359	312
257.75714	308
257.77841	304
257.79965	305
257.82092	301
257.84216	301
257.86343	302
257.88467	308
257.90591	307
257.92719	305
257.94843	305
257.96967	305
257.99094	299
258.01218	308
258.03342	306
258.05469	306
258.07593	306
258.09717	307
258.11844	310
258.13968	304
258.16092	307
258.18219	305
258.20343	306
258.22467	307
258.24594	301
