Date and Time:                Thu Oct 27 14:14:37.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         4
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              277.1
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



255.43948	309
255.46075	308
255.48203	311
255.5033	312
255.52457	313
255.54584	305
255.56711	305
255.58838	308
255.60965	305
255.63092	310
255.65221	303
255.67348	311
255.69475	314
255.71602	312
255.73729	311
255.75854	310
255.77982	311
255.80109	312
255.82236	310
255.84363	312
255.8649	305
255.88617	312
255.90744	313
255.92871	307
255.94998	310
255.97125	310
255.99251	307
256.01379	308
256.03506	312
256.0563	310
256.07758	305
256.09885	301
256.12012	315
256.14139	303
256.16266	301
256.18393	305
256.2052	315
256.22644	309
256.24771	309
256.26898	309
256.29025	307
256.31152	308
256.33279	309
256.35403	309
256.37531	316
256.39658	305
256.41785	308
256.43912	306
256.46036	308
256.48163	307
256.5029	304
256.52417	305
256.54544	308
256.56668	300
256.58795	307
256.60922	308
256.63049	305
256.65173	303
256.673	313
256.69427	308
256.71552	307
256.73679	311
256.75806	302
256.77933	304
256.80057	312
256.82184	307
256.84311	312
256.86435	303
256.88562	306
256.90689	312
256.92813	299
256.9494	310
256.97067	305
256.99191	307
257.01318	312
257.03445	312
257.05569	306
257.07697	302
257.09821	305
257.11948	306
257.14075	309
257.16199	307
257.18326	307
257.2045	303
257.22577	306
257.24704	305
257.26828	307
257.28955	298
257.31079	306
257.33206	303
257.3533	302
257.37457	306
257.39581	303
257.41708	308
257.43832	308
257.45959	304
257.48083	305
257.50211	306
257.52335	303
257.54462	307
257.56586	303
257.58713	304
257.60837	308
257.62964	308
257.65088	309
257.67215	306
257.69339	309
257.71466	306
257.7359	304
257.75714	298
257.77841	309
257.79965	307
257.82092	311
257.84216	305
257.86343	308
257.88467	298
257.90591	308
257.92719	304
257.94843	305
257.96967	308
257.99094	306
258.01218	311
258.03342	302
258.05469	304
258.07593	310
258.09717	301
258.11844	305
258.13968	307
258.16092	303
258.18219	307
258.20343	307
258.22467	302
258.24594	306
