Date and Time:                Wed Apr 6 13:42:03.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         2.5
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              279
Grating Groove Density (l/mm):2400
Grating Blaze:                BH
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



269.07523	306
269.08499	303
269.09479	305
269.10455	306
269.11432	305
269.12411	311
269.13388	308
269.14365	312
269.15344	313
269.16321	308
269.17297	308
269.18277	318
269.19254	307
269.2023	303
269.2121	304
269.22186	305
269.23163	308
269.24142	304
269.25119	298
269.26096	310
269.27072	303
269.28052	303
269.29028	306
269.30005	307
269.30984	306
269.31961	306
269.32938	308
269.33914	309
269.34894	304
269.3587	301
269.36847	308
269.37823	302
269.388	313
269.3978	309
269.40756	311
269.41733	309
269.42709	303
269.43689	305
269.44666	306
269.45642	304
269.46619	303
269.47595	310
269.48575	302
269.49551	305
269.50528	307
269.51505	310
269.52481	309
269.53458	309
269.54437	301
269.55414	309
269.5639	309
269.57367	307
269.58344	303
269.5932	306
269.60297	313
269.61273	308
269.62253	303
269.63229	308
269.64206	305
269.65182	305
269.66159	302
269.67136	309
269.68112	304
269.69089	302
269.70065	303
269.71042	303
269.72021	308
269.72998	306
269.73975	306
269.74951	310
269.75928	304
269.76904	309
269.77881	312
269.78857	308
269.79834	308
269.80811	309
269.81787	303
269.82764	303
269.8374	306
269.84717	312
269.85693	305
269.8667	309
269.87646	311
269.88623	306
269.896	305
269.90576	304
269.91553	306
269.92529	308
269.93506	304
269.94482	302
269.95459	309
269.96436	302
269.97412	298
269.98389	310
269.99365	304
270.00342	310
270.01318	308
270.02292	306
270.03268	306
270.04245	306
270.05222	308
270.06198	305
270.07175	301
270.08151	299
270.09128	304
270.10104	302
270.11081	308
270.12054	303
270.13031	301
270.14008	308
270.14984	301
270.15961	304
270.16937	305
270.17914	299
270.18887	306
270.19864	312
270.2084	303
270.21817	307
270.22794	299
270.2377	306
270.24744	302
270.2572	300
270.26697	301
270.27673	308
270.2865	309
270.29626	310
270.306	307
270.31577	303
270.32553	298
270.3353	306
270.34503	308
270.3548	306
270.36456	308
270.37433	304
