Date and Time:                Wed Apr 6 13:42:29.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         1200
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              279
Grating Groove Density (l/mm):2400
Grating Blaze:                BH
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



269.07523	2716
269.08499	2612
269.09479	2464
269.10455	2387
269.11432	2521
269.12411	2482
269.13388	2330
269.14365	2419
269.15344	2267
269.16321	2314
269.17297	2384
269.18277	2605
269.19254	2410
269.2023	2416
269.2121	2316
269.22186	2325
269.23163	2432
269.24142	2226
269.25119	2664
269.26096	2323
269.27072	2315
269.28052	2316
269.29028	2467
269.30005	2299
269.30984	2262
269.31961	2418
269.32938	2314
269.33914	2224
269.34894	2101
269.3587	2196
269.36847	2072
269.37823	2243
269.388	2211
269.3978	2290
269.40756	2304
269.41733	2446
269.42709	2303
269.43689	2366
269.44666	2372
269.45642	2480
269.46619	2168
269.47595	2348
269.48575	2166
269.49551	2196
269.50528	2372
269.51505	2316
269.52481	2240
269.53458	2106
269.54437	2389
269.55414	2155
269.5639	2134
269.57367	2175
269.58344	2221
269.5932	2295
269.60297	2323
269.61273	2338
269.62253	2254
269.63229	2469
269.64206	2242
269.65182	2069
269.66159	2280
269.67136	2067
269.68112	2570
269.69089	2051
269.70065	2152
269.71042	2044
269.72021	2192
269.72998	2191
269.73975	2489
269.74951	2201
269.75928	2160
269.76904	2164
269.77881	2494
269.78857	2096
269.79834	2265
269.80811	2289
269.81787	2225
269.82764	1993
269.8374	2125
269.84717	2184
269.85693	1984
269.8667	2201
269.87646	1984
269.88623	2059
269.896	1960
269.90576	2051
269.91553	2005
269.92529	2082
269.93506	2039
269.94482	2152
269.95459	2072
269.96436	1971
269.97412	2094
269.98389	2050
269.99365	2015
270.00342	1889
270.01318	2190
270.02292	1994
270.03268	1931
270.04245	1927
270.05222	1925
270.06198	1825
270.07175	1953
270.08151	2010
270.09128	1828
270.10104	1933
270.11081	1885
270.12054	1953
270.13031	2189
270.14008	2324
270.14984	1848
270.15961	1890
270.16937	1900
270.17914	1813
270.18887	2010
270.19864	1913
270.2084	1861
