Date and Time:                Wed Apr 6 12:20:39.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         2.5
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              279
Grating Groove Density (l/mm):2400
Grating Blaze:                BH
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



269.07523	309
269.08499	314
269.09479	305
269.10455	312
269.11432	306
269.12411	305
269.13388	306
269.14365	305
269.15344	306
269.16321	306
269.17297	308
269.18277	306
269.19254	303
269.2023	309
269.2121	310
269.22186	304
269.23163	313
269.24142	306
269.25119	306
269.26096	301
269.27072	310
269.28052	309
269.29028	311
269.30005	303
269.30984	305
269.31961	306
269.32938	310
269.33914	311
269.34894	307
269.3587	309
269.36847	302
269.37823	307
269.388	308
269.3978	302
269.40756	315
269.41733	307
269.42709	303
269.43689	307
269.44666	307
269.45642	307
269.46619	314
269.47595	305
269.48575	309
269.49551	308
269.50528	305
269.51505	306
269.52481	308
269.53458	309
269.54437	310
269.55414	308
269.5639	307
269.57367	307
269.58344	305
269.5932	307
269.60297	306
269.61273	299
269.62253	307
269.63229	302
269.64206	309
269.65182	307
269.66159	315
269.67136	311
269.68112	311
269.69089	308
269.70065	309
269.71042	309
269.72021	300
269.72998	299
269.73975	308
269.74951	310
269.75928	309
269.76904	305
269.77881	307
269.78857	300
269.79834	304
269.80811	305
269.81787	307
269.82764	307
269.8374	307
269.84717	307
269.85693	302
269.8667	300
269.87646	306
269.88623	305
269.896	314
269.90576	311
269.91553	297
269.92529	309
269.93506	309
269.94482	309
269.95459	305
269.96436	308
269.97412	309
269.98389	307
269.99365	311
270.00342	306
270.01318	309
270.02292	305
270.03268	312
270.04245	304
270.05222	306
270.06198	303
270.07175	299
270.08151	311
270.09128	309
270.10104	306
270.11081	303
270.12054	304
270.13031	310
270.14008	305
270.14984	307
270.15961	306
270.16937	304
270.17914	308
270.18887	307
270.19864	307
270.2084	308
270.21817	311
270.22794	314
270.2377	309
270.24744	306
270.2572	308
270.26697	301
270.27673	308
270.2865	300
270.29626	313
270.306	309
270.31577	305
270.32553	307
270.3353	308
270.34503	306
270.3548	304
270.36456	311
270.37433	310
