Date and Time:                Wed Apr 6 12:18:23.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         2.5
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              279
Grating Groove Density (l/mm):2400
Grating Blaze:                BH
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



269.07523	305
269.08499	309
269.09479	309
269.10455	311
269.11432	313
269.12411	307
269.13388	307
269.14365	307
269.15344	308
269.16321	305
269.17297	322
269.18277	307
269.19254	310
269.2023	307
269.2121	313
269.22186	310
269.23163	311
269.24142	305
269.25119	309
269.26096	302
269.27072	307
269.28052	307
269.29028	307
269.30005	309
269.30984	309
269.31961	309
269.32938	305
269.33914	305
269.34894	310
269.3587	305
269.36847	308
269.37823	310
269.388	310
269.3978	309
269.40756	311
269.41733	308
269.42709	304
269.43689	306
269.44666	317
269.45642	312
269.46619	305
269.47595	308
269.48575	305
269.49551	313
269.50528	316
269.51505	311
269.52481	309
269.53458	304
269.54437	309
269.55414	306
269.5639	309
269.57367	307
269.58344	312
269.5932	307
269.60297	309
269.61273	309
269.62253	306
269.63229	303
269.64206	305
269.65182	308
269.66159	303
269.67136	307
269.68112	308
269.69089	307
269.70065	314
269.71042	304
269.72021	307
269.72998	303
269.73975	313
269.74951	305
269.75928	309
269.76904	306
269.77881	300
269.78857	307
269.79834	309
269.80811	307
269.81787	312
269.82764	303
269.8374	304
269.84717	305
269.85693	310
269.8667	308
269.87646	308
269.88623	302
269.896	307
269.90576	307
269.91553	313
269.92529	306
269.93506	304
269.94482	306
269.95459	307
269.96436	308
269.97412	303
269.98389	306
269.99365	305
270.00342	307
270.01318	309
270.02292	311
270.03268	305
270.04245	312
270.05222	307
270.06198	298
270.07175	306
270.08151	300
270.09128	310
270.10104	299
270.11081	312
270.12054	311
270.13031	304
270.14008	303
270.14984	308
270.15961	303
270.16937	308
270.17914	307
270.18887	309
270.19864	308
270.2084	306
270.21817	310
270.22794	304
270.2377	308
270.24744	310
270.2572	309
270.26697	311
270.27673	305
270.2865	311
270.29626	306
270.306	303
270.31577	308
270.32553	304
270.3353	308
270.34503	306
270.3548	304
270.36456	305
270.37433	310
