Date and Time:                Wed Apr 6 12:19:25.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         2.5
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              279
Grating Groove Density (l/mm):2400
Grating Blaze:                BH
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



269.07523	308
269.08499	306
269.09479	305
269.10455	315
269.11432	309
269.12411	313
269.13388	304
269.14365	315
269.15344	310
269.16321	306
269.17297	311
269.18277	310
269.19254	306
269.2023	310
269.2121	304
269.22186	309
269.23163	311
269.24142	302
269.25119	313
269.26096	311
269.27072	309
269.28052	317
269.29028	309
269.30005	306
269.30984	310
269.31961	312
269.32938	304
269.33914	306
269.34894	303
269.3587	305
269.36847	307
269.37823	306
269.388	306
269.3978	303
269.40756	308
269.41733	310
269.42709	309
269.43689	307
269.44666	317
269.45642	314
269.46619	302
269.47595	311
269.48575	302
269.49551	311
269.50528	308
269.51505	315
269.52481	307
269.53458	308
269.54437	305
269.55414	305
269.5639	307
269.57367	312
269.58344	309
269.5932	312
269.60297	314
269.61273	308
269.62253	310
269.63229	306
269.64206	308
269.65182	305
269.66159	311
269.67136	303
269.68112	314
269.69089	306
269.70065	313
269.71042	304
269.72021	306
269.72998	311
269.73975	305
269.74951	316
269.75928	311
269.76904	311
269.77881	300
269.78857	307
269.79834	307
269.80811	307
269.81787	311
269.82764	301
269.8374	318
269.84717	310
269.85693	308
269.8667	313
269.87646	308
269.88623	308
269.896	306
269.90576	308
269.91553	310
269.92529	312
269.93506	314
269.94482	308
269.95459	307
269.96436	314
269.97412	312
269.98389	311
269.99365	313
270.00342	303
270.01318	305
270.02292	305
270.03268	315
270.04245	309
270.05222	306
270.06198	310
270.07175	315
270.08151	305
270.09128	312
270.10104	311
270.11081	313
270.12054	304
270.13031	305
270.14008	312
270.14984	302
270.15961	306
270.16937	306
270.17914	310
270.18887	310
270.19864	311
270.2084	307
270.21817	312
270.22794	303
270.2377	310
270.24744	301
270.2572	305
270.26697	307
270.27673	311
270.2865	307
270.29626	311
270.306	308
270.31577	304
270.32553	311
270.3353	303
270.34503	303
270.3548	307
270.36456	313
270.37433	306
