Date and Time:                Wed Apr 6 12:20:09.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         2.5
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              279
Grating Groove Density (l/mm):2400
Grating Blaze:                BH
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



269.07523	310
269.08499	309
269.09479	308
269.10455	305
269.11432	309
269.12411	313
269.13388	315
269.14365	307
269.15344	315
269.16321	309
269.17297	309
269.18277	310
269.19254	304
269.2023	304
269.2121	310
269.22186	309
269.23163	312
269.24142	314
269.25119	315
269.26096	311
269.27072	314
269.28052	308
269.29028	315
269.30005	307
269.30984	311
269.31961	303
269.32938	310
269.33914	312
269.34894	309
269.3587	307
269.36847	305
269.37823	310
269.388	305
269.3978	305
269.40756	309
269.41733	312
269.42709	310
269.43689	307
269.44666	310
269.45642	304
269.46619	308
269.47595	309
269.48575	308
269.49551	308
269.50528	307
269.51505	313
269.52481	307
269.53458	307
269.54437	304
269.55414	308
269.5639	306
269.57367	310
269.58344	310
269.5932	309
269.60297	304
269.61273	308
269.62253	303
269.63229	304
269.64206	318
269.65182	310
269.66159	303
269.67136	306
269.68112	310
269.69089	305
269.70065	302
269.71042	303
269.72021	312
269.72998	315
269.73975	313
269.74951	307
269.75928	306
269.76904	309
269.77881	308
269.78857	310
269.79834	310
269.80811	307
269.81787	304
269.82764	309
269.8374	307
269.84717	302
269.85693	313
269.8667	308
269.87646	306
269.88623	304
269.896	310
269.90576	309
269.91553	308
269.92529	300
269.93506	309
269.94482	314
269.95459	307
269.96436	309
269.97412	310
269.98389	302
269.99365	306
270.00342	307
270.01318	312
270.02292	311
270.03268	313
270.04245	305
270.05222	310
270.06198	307
270.07175	306
270.08151	307
270.09128	311
270.10104	314
270.11081	306
270.12054	314
270.13031	306
270.14008	306
270.14984	307
270.15961	307
270.16937	309
270.17914	300
270.18887	311
270.19864	310
270.2084	310
270.21817	309
270.22794	311
270.2377	307
270.24744	307
270.2572	315
270.26697	313
270.27673	306
270.2865	312
270.29626	307
270.306	301
270.31577	302
270.32553	306
270.3353	299
270.34503	311
270.3548	303
270.36456	306
270.37433	302
