Date and Time:                Wed Apr 6 12:42:34.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         1200
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              279
Grating Groove Density (l/mm):2400
Grating Blaze:                BH
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



269.07523	3218
269.08499	3051
269.09479	2843
269.10455	2853
269.11432	2983
269.12411	2951
269.13388	2808
269.14365	2924
269.15344	2708
269.16321	2791
269.17297	2835
269.18277	3084
269.19254	2935
269.2023	2871
269.2121	3194
269.22186	2742
269.23163	2892
269.24142	2698
269.25119	3128
269.26096	2782
269.27072	2794
269.28052	2820
269.29028	2941
269.30005	2777
269.30984	2727
269.31961	2896
269.32938	2782
269.33914	2687
269.34894	2571
269.3587	2651
269.36847	2541
269.37823	2716
269.388	2694
269.3978	2764
269.40756	2781
269.41733	2899
269.42709	2794
269.43689	2850
269.44666	2863
269.45642	2974
269.46619	2638
269.47595	2832
269.48575	2645
269.49551	2660
269.50528	2843
269.51505	2786
269.52481	2721
269.53458	2537
269.54437	2893
269.55414	2632
269.5639	2607
269.57367	2655
269.58344	2708
269.5932	2799
269.60297	2802
269.61273	2814
269.62253	2732
269.63229	2961
269.64206	2734
269.65182	2554
269.66159	2781
269.67136	2524
269.68112	3055
269.69089	2524
269.70065	2634
269.71042	2565
269.72021	2811
269.72998	2712
269.73975	2991
269.74951	2694
269.75928	2653
269.76904	2670
269.77881	3001
269.78857	2583
269.79834	2779
269.80811	2777
269.81787	2705
269.82764	2509
269.8374	2618
269.84717	2681
269.85693	2499
269.8667	2731
269.87646	2487
269.88623	2575
269.896	2463
269.90576	2574
269.91553	2496
269.92529	2596
269.93506	2577
269.94482	2642
269.95459	2576
269.96436	2485
269.97412	2611
269.98389	2557
269.99365	2426
270.00342	2401
270.01318	2709
270.02292	2502
270.03268	2448
270.04245	2418
270.05222	2436
270.06198	2319
270.07175	2467
270.08151	2528
270.09128	2347
270.10104	2432
270.11081	2383
270.12054	2485
270.13031	2710
270.14008	2869
270.14984	2379
270.15961	2418
270.16937	2441
270.17914	2336
270.18887	2523
270.19864	2459
270.2084	2371
