Date and Time:                Thu Apr 7 15:59:48.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         2.5
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              279
Grating Groove Density (l/mm):2400
Grating Blaze:                BH
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



269.07523	313
269.08499	310
269.09479	308
269.10455	312
269.11432	307
269.12411	312
269.13388	310
269.14365	318
269.15344	306
269.16321	312
269.17297	304
269.18277	312
269.19254	309
269.2023	314
269.2121	307
269.22186	307
269.23163	310
269.24142	310
269.25119	304
269.26096	306
269.27072	313
269.28052	309
269.29028	310
269.30005	305
269.30984	317
269.31961	307
269.32938	313
269.33914	307
269.34894	310
269.3587	313
269.36847	309
269.37823	311
269.388	310
269.3978	314
269.40756	305
269.41733	313
269.42709	309
269.43689	315
269.44666	310
269.45642	305
269.46619	313
269.47595	313
269.48575	309
269.49551	312
269.50528	317
269.51505	312
269.52481	313
269.53458	309
269.54437	314
269.55414	311
269.5639	309
269.57367	316
269.58344	310
269.5932	308
269.60297	303
269.61273	305
269.62253	313
269.63229	312
269.64206	308
269.65182	306
269.66159	309
269.67136	305
269.68112	307
269.69089	297
269.70065	321
269.71042	312
269.72021	311
269.72998	309
269.73975	316
269.74951	303
269.75928	308
269.76904	314
269.77881	316
269.78857	313
269.79834	312
269.80811	304
269.81787	306
269.82764	308
269.8374	315
269.84717	313
269.85693	309
269.8667	308
269.87646	312
269.88623	313
269.896	305
269.90576	306
269.91553	308
269.92529	313
269.93506	308
269.94482	315
269.95459	310
269.96436	313
269.97412	303
269.98389	313
269.99365	310
270.00342	312
270.01318	307
270.02292	312
270.03268	311
270.04245	313
270.05222	318
270.06198	305
270.07175	310
270.08151	306
270.09128	309
270.10104	305
270.11081	302
270.12054	309
270.13031	309
270.14008	308
270.14984	312
270.15961	307
270.16937	313
270.17914	308
270.18887	309
270.19864	314
270.2084	310
270.21817	307
270.22794	302
270.2377	311
270.24744	309
270.2572	310
270.26697	309
270.27673	308
270.2865	313
270.29626	311
270.306	314
270.31577	307
270.32553	306
270.3353	309
270.34503	307
270.3548	309
270.36456	310
270.37433	309
