Date and Time:                Thu Apr 7 16:04:59.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         2.5
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              279
Grating Groove Density (l/mm):2400
Grating Blaze:                BH
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



269.07523	308
269.08499	309
269.09479	308
269.10455	317
269.11432	305
269.12411	314
269.13388	309
269.14365	312
269.15344	310
269.16321	305
269.17297	307
269.18277	310
269.19254	304
269.2023	308
269.2121	315
269.22186	306
269.23163	308
269.24142	308
269.25119	315
269.26096	309
269.27072	314
269.28052	312
269.29028	312
269.30005	309
269.30984	314
269.31961	307
269.32938	311
269.33914	308
269.34894	310
269.3587	309
269.36847	310
269.37823	315
269.388	310
269.3978	310
269.40756	311
269.41733	311
269.42709	304
269.43689	310
269.44666	312
269.45642	309
269.46619	311
269.47595	306
269.48575	311
269.49551	303
269.50528	309
269.51505	304
269.52481	308
269.53458	311
269.54437	308
269.55414	313
269.5639	311
269.57367	315
269.58344	306
269.5932	311
269.60297	307
269.61273	310
269.62253	308
269.63229	311
269.64206	309
269.65182	303
269.66159	307
269.67136	303
269.68112	312
269.69089	305
269.70065	302
269.71042	311
269.72021	305
269.72998	312
269.73975	310
269.74951	313
269.75928	308
269.76904	309
269.77881	314
269.78857	307
269.79834	311
269.80811	308
269.81787	304
269.82764	311
269.8374	305
269.84717	314
269.85693	307
269.8667	304
269.87646	308
269.88623	307
269.896	305
269.90576	310
269.91553	307
269.92529	309
269.93506	304
269.94482	311
269.95459	310
269.96436	314
269.97412	315
269.98389	307
269.99365	312
270.00342	309
270.01318	311
270.02292	308
270.03268	306
270.04245	311
270.05222	315
270.06198	308
270.07175	309
270.08151	306
270.09128	304
270.10104	311
270.11081	310
270.12054	311
270.13031	312
270.14008	313
270.14984	305
270.15961	309
270.16937	310
270.17914	304
270.18887	307
270.19864	311
270.2084	308
270.21817	311
270.22794	309
270.2377	316
270.24744	316
270.2572	300
270.26697	303
270.27673	307
270.2865	309
270.29626	307
270.306	316
270.31577	305
270.32553	314
270.3353	301
270.34503	313
270.3548	315
270.36456	306
270.37433	307
