Date and Time:                Mon Oct 17 12:20:13.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         2.3
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              279.6
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



257.95227	311
257.97354	304
257.99478	299
258.01605	302
258.03732	303
258.05856	308
258.07983	305
258.1011	298
258.12234	304
258.14362	305
258.16489	305
258.18613	305
258.2074	307
258.22864	301
258.24991	301
258.27118	304
258.29242	308
258.31369	308
258.33493	308
258.3562	299
258.37744	304
258.39871	303
258.41998	308
258.44122	308
258.46249	309
258.48373	298
258.505	309
258.52625	306
258.54752	302
258.56876	299
258.59003	304
258.61127	300
258.63254	301
258.65378	304
258.67505	307
258.69629	304
258.71756	306
258.7388	308
258.76007	307
258.78131	300
258.80255	309
258.82382	306
258.84506	297
258.86633	306
258.88757	303
258.90884	303
258.93008	309
258.95132	303
258.9726	302
258.99384	307
259.01511	302
259.03635	301
259.05759	304
259.07886	299
259.1001	305
259.12134	307
259.14261	303
259.16385	299
259.18509	303
259.20636	308
259.2276	300
259.24884	309
259.27011	308
259.29135	302
259.31259	304
259.33386	309
259.3551	303
259.37634	306
259.39758	306
259.41885	303
259.44009	307
259.46133	303
259.48257	304
259.50385	302
259.52509	300
259.54633	301
259.56757	299
259.58884	301
259.61008	300
259.63132	305
259.65256	306
259.6738	303
259.69507	299
259.71631	299
259.73755	302
259.75879	306
259.78003	302
259.80127	308
259.82254	305
259.84378	308
259.86502	305
259.88626	300
259.9075	300
259.92874	303
259.94998	307
259.97125	302
259.99249	307
260.01373	300
260.03497	309
260.05621	298
260.07745	299
260.09869	307
260.11993	310
260.14117	302
260.16241	306
260.18365	299
260.2049	299
260.22614	300
260.24738	301
260.26865	302
260.28989	297
260.31113	307
260.33237	298
260.35361	309
260.37485	306
260.39609	302
260.41733	300
260.43857	304
260.45981	308
260.48102	302
260.50226	304
260.5235	302
260.54474	305
260.56598	312
260.58722	300
260.60846	309
260.6297	305
260.65094	304
260.67218	306
260.69342	303
260.71466	306
260.7359	304
260.75714	304
