Date and Time:                Mon Oct 17 12:10:58.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         2.3
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              279.6
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



257.95227	305
257.97354	301
257.99478	301
258.01605	305
258.03732	303
258.05856	310
258.07983	306
258.1011	308
258.12234	303
258.14362	299
258.16489	305
258.18613	304
258.2074	303
258.22864	303
258.24991	302
258.27118	303
258.29242	303
258.31369	306
258.33493	302
258.3562	305
258.37744	302
258.39871	300
258.41998	305
258.44122	296
258.46249	308
258.48373	299
258.505	298
258.52625	308
258.54752	305
258.56876	304
258.59003	299
258.61127	305
258.63254	304
258.65378	300
258.67505	307
258.69629	300
258.71756	306
258.7388	306
258.76007	303
258.78131	310
258.80255	308
258.82382	306
258.84506	299
258.86633	300
258.88757	307
258.90884	305
258.93008	308
258.95132	309
258.9726	307
258.99384	300
259.01511	303
259.03635	308
259.05759	301
259.07886	308
259.1001	301
259.12134	307
259.14261	301
259.16385	306
259.18509	307
259.20636	304
259.2276	308
259.24884	304
259.27011	302
259.29135	305
259.31259	306
259.33386	303
259.3551	302
259.37634	304
259.39758	309
259.41885	299
259.44009	301
259.46133	308
259.48257	302
259.50385	301
259.52509	306
259.54633	301
259.56757	305
259.58884	306
259.61008	308
259.63132	306
259.65256	309
259.6738	308
259.69507	301
259.71631	314
259.73755	305
259.75879	303
259.78003	303
259.80127	300
259.82254	304
259.84378	304
259.86502	297
259.88626	304
259.9075	300
259.92874	303
259.94998	304
259.97125	300
259.99249	306
260.01373	306
260.03497	301
260.05621	304
260.07745	307
260.09869	308
260.11993	309
260.14117	300
260.16241	301
260.18365	306
260.2049	296
260.22614	304
260.24738	300
260.26865	306
260.28989	296
260.31113	304
260.33237	303
260.35361	297
260.37485	309
260.39609	300
260.41733	305
260.43857	303
260.45981	307
260.48102	300
260.50226	311
260.5235	294
260.54474	303
260.56598	305
260.58722	303
260.60846	308
260.6297	303
260.65094	300
260.67218	299
260.69342	302
260.71466	306
260.7359	303
260.75714	299
