Date and Time:                Mon Oct 17 12:30:00.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.2
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              279.6
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



257.95227	302
257.97354	303
257.99478	300
258.01605	301
258.03732	299
258.05856	297
258.07983	300
258.1011	299
258.12234	297
258.14362	301
258.16489	300
258.18613	300
258.2074	298
258.22864	303
258.24991	297
258.27118	309
258.29242	301
258.31369	306
258.33493	295
258.3562	300
258.37744	292
258.39871	302
258.41998	303
258.44122	304
258.46249	301
258.48373	298
258.505	301
258.52625	298
258.54752	299
258.56876	307
258.59003	303
258.61127	301
258.63254	302
258.65378	304
258.67505	302
258.69629	299
258.71756	306
258.7388	307
258.76007	301
258.78131	299
258.80255	297
258.82382	300
258.84506	300
258.86633	297
258.88757	299
258.90884	299
258.93008	306
258.95132	302
258.9726	297
258.99384	301
259.01511	304
259.03635	300
259.05759	305
259.07886	299
259.1001	306
259.12134	296
259.14261	305
259.16385	303
259.18509	301
259.20636	296
259.2276	299
259.24884	303
259.27011	299
259.29135	298
259.31259	301
259.33386	294
259.3551	292
259.37634	309
259.39758	301
259.41885	297
259.44009	296
259.46133	302
259.48257	306
259.50385	304
259.52509	302
259.54633	299
259.56757	304
259.58884	303
259.61008	292
259.63132	297
259.65256	301
259.6738	305
259.69507	301
259.71631	304
259.73755	301
259.75879	305
259.78003	306
259.80127	297
259.82254	295
259.84378	297
259.86502	296
259.88626	306
259.9075	301
259.92874	291
259.94998	299
259.97125	295
259.99249	305
260.01373	301
260.03497	302
260.05621	302
260.07745	295
260.09869	310
260.11993	300
260.14117	298
260.16241	304
260.18365	304
260.2049	301
260.22614	295
260.24738	304
260.26865	304
260.28989	296
260.31113	302
260.33237	305
260.35361	298
260.37485	305
260.39609	299
260.41733	298
260.43857	296
260.45981	304
260.48102	297
260.50226	298
260.5235	297
260.54474	297
260.56598	303
260.58722	296
260.60846	299
260.6297	301
260.65094	296
260.67218	302
260.69342	303
260.71466	306
260.7359	305
260.75714	302
