Date and Time:                Mon Oct 17 11:54:19.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.2
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              279.6
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



257.95227	4824
257.97354	4600
257.99478	4582
258.01605	4591
258.03732	4584
258.05856	4666
258.07983	4634
258.1011	4636
258.12234	4598
258.14362	4638
258.16489	4603
258.18613	4570
258.2074	4566
258.22864	4600
258.24991	4634
258.27118	4615
258.29242	4599
258.31369	4660
258.33493	4618
258.3562	4660
258.37744	4612
258.39871	4626
258.41998	4670
258.44122	4656
258.46249	4679
258.48373	4661
258.505	4691
258.52625	4723
258.54752	4714
258.56876	4684
258.59003	4723
258.61127	4730
258.63254	4748
258.65378	4766
258.67505	4768
258.69629	4752
258.71756	4776
258.7388	4813
258.76007	4820
258.78131	4818
258.80255	4782
258.82382	4767
258.84506	4725
258.86633	4789
258.88757	4812
258.90884	4835
258.93008	4792
258.95132	4853
258.9726	4820
258.99384	4857
259.01511	4858
259.03635	4879
259.05759	4885
259.07886	4872
259.1001	4883
259.12134	4920
259.14261	4935
259.16385	4963
259.18509	4952
259.20636	5008
259.2276	4978
259.24884	4962
259.27011	5005
259.29135	5016
259.31259	4984
259.33386	4965
259.3551	4979
259.37634	4972
259.39758	4969
259.41885	4923
259.44009	4959
259.46133	4946
259.48257	4951
259.50385	4990
259.52509	4988
259.54633	4967
259.56757	4969
259.58884	4967
259.61008	4975
259.63132	4964
259.65256	5041
259.6738	5057
259.69507	5004
259.71631	5089
259.73755	5114
259.75879	5108
259.78003	5154
259.80127	5119
259.82254	5127
259.84378	5105
259.86502	5134
259.88626	5110
259.9075	5098
259.92874	5106
259.94998	5137
259.97125	5158
259.99249	5168
260.01373	5172
260.03497	5179
260.05621	5272
260.07745	5242
260.09869	5222
260.11993	5235
260.14117	5226
260.16241	5282
260.18365	5261
260.2049	5329
260.22614	5349
260.24738	5338
260.26865	5354
260.28989	5327
260.31113	5319
260.33237	5372
260.35361	5347
260.37485	5376
260.39609	5374
