Date and Time:                Wed Apr 6 15:56:58.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.5
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              281
Grating Groove Density (l/mm):2400
Grating Blaze:                BH
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



271.09082	31705
271.10059	30339
271.11035	30465
271.12012	30469
271.12985	30636
271.13962	30601
271.14938	30180
271.15915	30256
271.16891	30698
271.17868	30580
271.18845	30561
271.19818	30320
271.20795	30316
271.21771	30390
271.22748	30342
271.23724	30242
271.24701	30265
271.25674	30731
271.26651	30782
271.27628	30606
271.28604	30354
271.29581	30152
271.30554	30166
271.31531	30094
271.32507	29894
271.33484	29702
271.34457	30012
271.35434	29948
271.36411	29784
271.37387	29699
271.38361	29965
271.39337	29843
271.40314	29850
271.4129	29914
271.42264	29794
271.4324	29632
271.44217	29568
271.45193	29599
271.46167	29612
271.47144	29603
271.4812	29542
271.49094	29724
271.5007	30073
271.51047	30143
271.5202	29953
271.52997	29833
271.53973	29690
271.54947	29758
271.55923	29858
271.569	29970
271.57874	30219
271.5885	30315
271.59827	30346
271.608	30256
271.61777	30157
271.62753	30178
271.63727	30163
271.64703	30226
271.6568	30393
271.66653	30377
271.6763	30241
271.68604	30167
271.6958	30142
271.70557	30168
271.7153	30050
271.72507	29984
271.7348	30041
271.74457	29837
271.7543	29805
271.76407	29813
271.77383	30003
271.78357	29968
271.79333	29926
271.80307	30077
271.81284	30097
271.82257	30060
271.83234	29976
271.84207	30125
271.85184	29941
271.86157	29821
271.87134	29823
271.88107	29723
271.89084	29731
271.9006	29589
271.91034	29453
271.9201	29608
271.92984	29636
271.93958	29540
271.94934	29509
271.95908	29533
271.96884	29570
271.97858	29329
271.98834	29441
271.99808	29579
272.00784	29698
272.01758	29814
272.02734	29836
272.03708	29777
272.04681	29784
272.05658	29747
272.06631	29726
272.07608	29778
272.08582	29852
272.09558	29765
272.10532	29675
272.11505	29616
272.12482	29573
272.13455	29497
272.14432	29534
272.15405	29746
272.16379	30000
272.17355	30245
272.18329	30089
272.19302	30007
272.20279	29901
272.21252	29985
272.22226	30089
