Date and Time:                Wed Apr 6 17:54:42.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         1200
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              281
Grating Groove Density (l/mm):2400
Grating Blaze:                BH
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



271.09082	2473
271.10059	2334
271.11035	2171
271.12012	2158
271.12985	2300
271.13962	2241
271.14938	2137
271.15915	2200
271.16891	2033
271.17868	2091
271.18845	2195
271.19818	2455
271.20795	2186
271.21771	2199
271.22748	2107
271.23724	2109
271.24701	2267
271.25674	1989
271.26651	2448
271.27628	2089
271.28604	2087
271.29581	2113
271.30554	2247
271.31531	2084
271.32507	2027
271.33484	2194
271.34457	2094
271.35434	2024
271.36411	1908
271.37387	1934
271.38361	1882
271.39337	2009
271.40314	2016
271.4129	2083
271.42264	2104
271.4324	2214
271.44217	2087
271.45193	2147
271.46167	2154
271.47144	2287
271.4812	1939
271.49094	2125
271.5007	1939
271.51047	1970
271.5202	2172
271.52997	2091
271.53973	2035
271.54947	1832
271.55923	2179
271.569	1938
271.57874	1913
271.5885	1961
271.59827	2015
271.608	2075
271.61777	2101
271.62753	2105
271.63727	2027
271.64703	2264
271.6568	2008
271.66653	1838
271.6763	2089
271.68604	1847
271.6958	2366
271.70557	1847
271.7153	1939
271.72507	1833
271.7348	1968
271.74457	2006
271.7543	2267
271.76407	1994
271.77383	1935
271.78357	1949
271.79333	2280
271.80307	1875
271.81284	2068
271.82257	2069
271.83234	2014
271.84207	1786
271.85184	1910
271.86157	1970
271.87134	1798
271.88107	2013
271.89084	1773
271.9006	1872
271.91034	1734
271.9201	1862
271.92984	1788
271.93958	1878
271.94934	1837
271.95908	1910
271.96884	1866
271.97858	1748
271.98834	1875
271.99808	1844
272.00784	1702
272.01758	1669
272.02734	1994
272.03708	1802
272.04681	1712
272.05658	1706
272.06631	1727
272.07608	1617
272.08582	1747
272.09558	1796
272.10532	1631
272.11505	1703
272.12482	1674
272.13455	1768
272.14432	1986
272.15405	2134
272.16379	1655
272.17355	1709
272.18329	1680
272.19302	1619
272.20279	1813
272.21252	1738
272.22226	1666
