Date and Time:                Wed Apr 6 15:53:39.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         2
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              281
Grating Groove Density (l/mm):2400
Grating Blaze:                BH
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



271.09082	306
271.10059	306
271.11035	310
271.12012	308
271.12985	311
271.13962	305
271.14938	312
271.15915	305
271.16891	305
271.17868	305
271.18845	313
271.19818	307
271.20795	311
271.21771	308
271.22748	302
271.23724	300
271.24701	301
271.25674	307
271.26651	309
271.27628	307
271.28604	301
271.29581	308
271.30554	310
271.31531	306
271.32507	307
271.33484	304
271.34457	312
271.35434	304
271.36411	305
271.37387	304
271.38361	311
271.39337	306
271.40314	301
271.4129	311
271.42264	310
271.4324	314
271.44217	304
271.45193	313
271.46167	308
271.47144	310
271.4812	304
271.49094	309
271.5007	309
271.51047	308
271.5202	304
271.52997	303
271.53973	299
271.54947	313
271.55923	305
271.569	309
271.57874	312
271.5885	302
271.59827	305
271.608	307
271.61777	302
271.62753	303
271.63727	305
271.64703	305
271.6568	303
271.66653	307
271.6763	304
271.68604	304
271.6958	310
271.70557	302
271.7153	308
271.72507	302
271.7348	315
271.74457	301
271.7543	310
271.76407	305
271.77383	310
271.78357	303
271.79333	314
271.80307	304
271.81284	308
271.82257	302
271.83234	313
271.84207	305
271.85184	305
271.86157	304
271.87134	312
271.88107	303
271.89084	313
271.9006	306
271.91034	304
271.9201	309
271.92984	305
271.93958	301
271.94934	302
271.95908	301
271.96884	302
271.97858	308
271.98834	309
271.99808	304
272.00784	302
272.01758	305
272.02734	307
272.03708	311
272.04681	299
272.05658	308
272.06631	307
272.07608	304
272.08582	310
272.09558	306
272.10532	311
272.11505	299
272.12482	309
272.13455	307
272.14432	308
272.15405	312
272.16379	304
272.17355	307
272.18329	305
272.19302	302
272.20279	308
272.21252	307
272.22226	296
272.23203	309
272.24176	309
272.25153	312
272.26126	304
272.271	307
272.28073	302
272.2905	306
272.30023	301
272.30997	302
272.31973	309
272.32947	303
272.3392	302
272.34897	306
272.3587	308
272.36844	304
272.37817	303
272.38794	311
