Date and Time:                Wed Apr 6 15:53:05.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.5
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              281
Grating Groove Density (l/mm):2400
Grating Blaze:                BH
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



271.09082	31846
271.10059	30293
271.11035	30478
271.12012	30571
271.12985	30636
271.13962	30454
271.14938	30195
271.15915	30296
271.16891	30664
271.17868	30622
271.18845	30568
271.19818	30326
271.20795	30346
271.21771	30472
271.22748	30327
271.23724	30227
271.24701	30310
271.25674	30833
271.26651	30827
271.27628	30591
271.28604	30330
271.29581	30157
271.30554	30123
271.31531	30096
271.32507	29924
271.33484	29833
271.34457	30005
271.35434	29904
271.36411	29824
271.37387	29740
271.38361	29883
271.39337	29864
271.40314	29891
271.4129	29913
271.42264	29783
271.4324	29590
271.44217	29562
271.45193	29622
271.46167	29657
271.47144	29644
271.4812	29634
271.49094	29783
271.5007	30054
271.51047	30155
271.5202	29976
271.52997	29824
271.53973	29859
271.54947	29820
271.55923	29810
271.569	29989
271.57874	30304
271.5885	30426
271.59827	30286
271.608	30242
271.61777	30247
271.62753	30099
271.63727	30116
271.64703	30240
271.6568	30380
271.66653	30396
271.6763	30257
271.68604	30232
271.6958	30242
271.70557	30171
271.7153	30073
271.72507	29951
271.7348	30041
271.74457	29905
271.7543	29800
271.76407	29840
271.77383	29951
271.78357	29996
271.79333	29957
271.80307	30043
271.81284	30209
271.82257	30043
271.83234	30064
271.84207	30087
271.85184	29962
271.86157	29916
271.87134	29814
271.88107	29756
271.89084	29856
271.9006	29572
271.91034	29594
271.9201	29626
271.92984	29634
271.93958	29606
271.94934	29535
271.95908	29543
271.96884	29508
271.97858	29412
271.98834	29453
271.99808	29715
272.00784	29807
272.01758	29885
272.02734	29829
272.03708	29865
272.04681	29794
272.05658	29757
272.06631	29736
272.07608	29829
272.08582	29897
272.09558	29883
272.10532	29740
272.11505	29609
272.12482	29548
272.13455	29503
272.14432	29566
272.15405	29828
272.16379	30137
272.17355	30152
272.18329	30231
272.19302	30058
272.20279	29944
272.21252	30049
272.22226	30110
