Date and Time:                Mon Oct 17 14:51:04.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         2
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              280.3
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



258.65585	306
258.67709	302
258.69836	306
258.7196	301
258.74088	301
258.76215	308
258.78339	308
258.80466	307
258.8259	306
258.84717	304
258.86841	299
258.88968	304
258.91092	311
258.93219	305
258.95343	301
258.9747	298
258.99594	305
259.01721	304
259.03845	303
259.05969	304
259.08096	304
259.1022	310
259.12347	300
259.14471	297
259.16599	306
259.18723	303
259.2085	300
259.22974	304
259.25098	309
259.27225	304
259.29349	308
259.31473	300
259.336	306
259.35724	300
259.37851	299
259.39975	306
259.42099	302
259.44226	309
259.4635	307
259.48474	307
259.50601	301
259.52725	300
259.54849	307
259.56976	302
259.591	307
259.61224	306
259.63351	308
259.65475	303
259.67599	296
259.69724	304
259.71851	306
259.73975	306
259.76099	302
259.78223	307
259.8035	305
259.82474	304
259.84598	303
259.86722	299
259.88849	306
259.90973	307
259.93097	303
259.95221	307
259.97345	308
259.99472	308
260.01596	298
260.0372	307
260.05844	307
260.07968	309
260.10095	302
260.12219	301
260.14343	306
260.16467	304
260.18591	304
260.20715	308
260.22839	306
260.24966	305
260.2709	309
260.29214	312
260.31339	308
260.33463	303
260.35587	298
260.37711	312
260.39835	306
260.41959	299
260.44083	302
260.46207	305
260.48331	304
260.50458	301
260.52582	305
260.54706	301
260.5683	303
260.58954	309
260.61078	298
260.63202	305
260.65326	306
260.6745	306
260.69574	307
260.71698	311
260.73822	304
260.75946	309
260.7807	301
260.80194	311
260.82318	304
260.84442	309
260.86563	302
260.88687	307
260.90811	305
260.92935	304
260.95059	305
260.97183	305
260.99307	302
261.01431	306
261.03555	303
261.05679	309
261.07803	303
261.09924	305
261.12048	308
261.14172	307
261.16296	306
261.1842	305
261.20544	305
261.22668	304
261.24789	298
261.26913	306
261.29037	308
261.31161	306
261.33286	309
261.3541	303
261.37531	306
261.39655	299
261.41779	305
261.43903	306
261.46027	307
