Date and Time:                Mon Oct 17 14:40:15.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         2
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              280.3
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



258.65585	302
258.67709	307
258.69836	300
258.7196	304
258.74088	304
258.76215	299
258.78339	310
258.80466	303
258.8259	303
258.84717	303
258.86841	301
258.88968	303
258.91092	306
258.93219	310
258.95343	302
258.9747	299
258.99594	307
259.01721	307
259.03845	308
259.05969	306
259.08096	307
259.1022	313
259.12347	305
259.14471	307
259.16599	303
259.18723	303
259.2085	300
259.22974	304
259.25098	308
259.27225	307
259.29349	307
259.31473	302
259.336	305
259.35724	305
259.37851	309
259.39975	303
259.42099	299
259.44226	306
259.4635	303
259.48474	301
259.50601	302
259.52725	307
259.54849	309
259.56976	307
259.591	308
259.61224	307
259.63351	302
259.65475	296
259.67599	299
259.69724	304
259.71851	298
259.73975	304
259.76099	306
259.78223	308
259.8035	304
259.82474	304
259.84598	307
259.86722	308
259.88849	304
259.90973	300
259.93097	298
259.95221	309
259.97345	307
259.99472	302
260.01596	303
260.0372	302
260.05844	308
260.07968	304
260.10095	304
260.12219	303
260.14343	296
260.16467	304
260.18591	299
260.20715	307
260.22839	304
260.24966	309
260.2709	303
260.29214	307
260.31339	302
260.33463	311
260.35587	304
260.37711	310
260.39835	305
260.41959	297
260.44083	305
260.46207	302
260.48331	304
260.50458	309
260.52582	299
260.54706	306
260.5683	305
260.58954	308
260.61078	302
260.63202	309
260.65326	306
260.6745	307
260.69574	309
260.71698	303
260.73822	304
260.75946	307
260.7807	302
260.80194	303
260.82318	300
260.84442	307
260.86563	309
260.88687	301
260.90811	301
260.92935	301
260.95059	306
260.97183	306
260.99307	299
261.01431	305
261.03555	310
261.05679	305
261.07803	302
261.09924	313
261.12048	305
261.14172	307
261.16296	299
261.1842	293
261.20544	307
261.22668	300
261.24789	303
261.26913	302
261.29037	300
261.31161	304
261.33286	301
261.3541	302
261.37531	300
261.39655	298
261.41779	297
261.43903	302
261.46027	306
