Date and Time:                Fri Sep 9 14:59:40.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         1.8
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              283
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



261.36975	305
261.39099	305
261.41223	305
261.4335	301
261.45474	306
261.47598	304
261.49722	307
261.51846	307
261.5397	306
261.56094	308
261.58218	305
261.60342	305
261.62466	309
261.6459	307
261.66718	308
261.68842	309
261.70966	304
261.7309	309
261.75214	311
261.77338	302
261.79462	302
261.81586	306
261.8371	304
261.85834	308
261.87958	305
261.90082	300
261.92206	305
261.9433	311
261.96454	305
261.98578	302
262.00702	306
262.02826	304
262.0495	304
262.07071	307
262.09195	302
262.11319	307
262.13443	304
262.15567	305
262.17691	305
262.19815	306
262.21939	304
262.24063	301
262.26187	306
262.28311	303
262.30432	298
262.32556	306
262.3468	304
262.36804	309
262.38928	304
262.41052	304
262.43176	302
262.45297	307
262.47421	305
262.49545	305
262.51669	307
262.53793	305
262.55917	298
262.58038	310
262.60162	316
262.62286	309
262.6441	309
262.66531	305
262.68655	307
262.70779	300
262.72903	310
262.75024	298
262.77148	310
262.79272	304
262.81396	308
262.83517	304
262.85641	305
262.87766	302
262.8989	307
262.9201	307
262.94135	311
262.96259	303
262.9838	306
263.00504	306
263.02628	297
263.04749	302
263.06873	305
263.08997	302
263.11118	308
263.13242	301
263.15366	304
263.17487	307
263.19611	303
263.21732	309
263.23856	304
263.2598	295
263.28101	308
263.30225	303
263.32346	308
263.3447	307
263.36594	310
263.38715	304
263.40839	306
263.4296	303
263.45084	308
263.47205	307
263.49329	311
263.51453	306
263.53574	304
263.55698	302
263.57819	304
263.59943	306
263.62064	303
263.64188	308
263.66309	307
263.68433	306
263.70554	305
263.72678	305
263.74799	302
263.7692	302
263.79044	301
263.81165	306
263.83289	305
263.8541	305
263.87534	305
263.89655	305
263.91779	300
263.939	309
263.96021	305
263.98145	303
264.00266	301
264.0239	304
264.0451	304
264.06631	302
264.08755	309
264.10876	304
264.12997	306
264.15121	299
264.17242	305
