Date and Time:                Fri Sep 9 15:03:09.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         180
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              283
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



261.36975	756
261.39099	727
261.41223	696
261.4335	703
261.45474	727
261.47598	707
261.49722	698
261.51846	704
261.5397	688
261.56094	699
261.58218	695
261.60342	740
261.62466	700
261.6459	700
261.66718	684
261.68842	687
261.70966	713
261.7309	670
261.75214	740
261.77338	675
261.79462	696
261.81586	696
261.8371	710
261.85834	682
261.87958	678
261.90082	703
261.92206	684
261.9433	677
261.96454	656
261.98578	661
262.00702	653
262.02826	680
262.0495	664
262.07071	683
262.09195	688
262.11319	706
262.13443	685
262.15567	690
262.17691	700
262.19815	713
262.21939	657
262.24063	688
262.26187	661
262.28311	667
262.30432	690
262.32556	686
262.3468	668
262.36804	644
262.38928	691
262.41052	658
262.43176	670
262.45297	669
262.47421	681
262.49545	677
262.51669	688
262.53793	692
262.55917	678
262.58038	758
262.60162	683
262.62286	653
262.6441	690
262.66531	651
262.68655	730
262.70779	650
262.72903	664
262.75024	646
262.77148	666
262.79272	677
262.81396	712
262.83517	659
262.85641	670
262.87766	663
262.8989	711
262.9201	658
262.94135	679
262.96259	680
262.9838	664
263.00504	645
263.02628	652
263.04749	654
263.06873	638
263.08997	670
263.11118	640
263.13242	649
263.15366	635
263.17487	652
263.19611	642
263.21732	651
263.23856	650
263.2598	658
263.28101	654
263.30225	637
263.32346	650
263.3447	648
263.36594	622
263.38715	620
263.40839	677
263.4296	636
263.45084	640
263.47205	615
263.49329	637
263.51453	612
263.53574	629
263.55698	634
263.57819	617
263.59943	633
263.62064	614
263.64188	634
263.66309	658
263.68433	694
263.70554	615
263.72678	635
263.74799	618
263.7692	614
263.79044	633
263.81165	619
263.83289	610
263.8541	654
263.87534	633
263.89655	646
263.91779	599
263.939	612
263.96021	623
263.98145	633
264.00266	614
264.0239	656
264.0451	638
264.06631	606
264.08755	609
264.10876	647
264.12997	611
264.15121	624
264.17242	594
264.19363	608
