Date and Time:                Fri Sep 9 14:43:41.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         1.8
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              283
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



261.36975	309
261.39099	313
261.41223	304
261.4335	299
261.45474	306
261.47598	309
261.49722	305
261.51846	302
261.5397	308
261.56094	306
261.58218	311
261.60342	304
261.62466	306
261.6459	312
261.66718	302
261.68842	305
261.70966	299
261.7309	303
261.75214	310
261.77338	310
261.79462	307
261.81586	308
261.8371	304
261.85834	306
261.87958	304
261.90082	300
261.92206	309
261.9433	306
261.96454	305
261.98578	307
262.00702	308
262.02826	310
262.0495	308
262.07071	306
262.09195	301
262.11319	306
262.13443	301
262.15567	309
262.17691	303
262.19815	307
262.21939	305
262.24063	305
262.26187	304
262.28311	311
262.30432	306
262.32556	308
262.3468	306
262.36804	308
262.38928	308
262.41052	308
262.43176	305
262.45297	309
262.47421	308
262.49545	303
262.51669	305
262.53793	304
262.55917	312
262.58038	308
262.60162	305
262.62286	308
262.6441	305
262.66531	303
262.68655	306
262.70779	307
262.72903	305
262.75024	307
262.77148	305
262.79272	302
262.81396	306
262.83517	303
262.85641	305
262.87766	307
262.8989	302
262.9201	301
262.94135	309
262.96259	308
262.9838	306
263.00504	307
263.02628	305
263.04749	304
263.06873	304
263.08997	309
263.11118	306
263.13242	303
263.15366	309
263.17487	307
263.19611	304
263.21732	301
263.23856	310
263.2598	308
263.28101	303
263.30225	301
263.32346	302
263.3447	306
263.36594	303
263.38715	303
263.40839	309
263.4296	304
263.45084	307
263.47205	299
263.49329	300
263.51453	299
263.53574	309
263.55698	305
263.57819	311
263.59943	303
263.62064	308
263.64188	303
263.66309	310
263.68433	306
263.70554	308
263.72678	295
263.74799	304
263.7692	304
263.79044	305
263.81165	305
263.83289	304
263.8541	307
263.87534	303
263.89655	307
263.91779	301
263.939	306
263.96021	304
263.98145	306
264.00266	305
264.0239	310
264.0451	300
264.06631	299
264.08755	306
264.10876	306
264.12997	306
264.15121	313
264.17242	308
