Date and Time:                Fri Sep 9 14:45:01.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         1.8
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              283
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



261.36975	309
261.39099	305
261.41223	311
261.4335	307
261.45474	306
261.47598	309
261.49722	311
261.51846	305
261.5397	307
261.56094	306
261.58218	306
261.60342	307
261.62466	303
261.6459	312
261.66718	306
261.68842	306
261.70966	306
261.7309	305
261.75214	310
261.77338	308
261.79462	307
261.81586	309
261.8371	307
261.85834	310
261.87958	305
261.90082	303
261.92206	304
261.9433	304
261.96454	304
261.98578	305
262.00702	304
262.02826	309
262.0495	302
262.07071	307
262.09195	301
262.11319	311
262.13443	306
262.15567	303
262.17691	306
262.19815	316
262.21939	311
262.24063	307
262.26187	304
262.28311	310
262.30432	307
262.32556	309
262.3468	301
262.36804	310
262.38928	305
262.41052	301
262.43176	304
262.45297	308
262.47421	309
262.49545	306
262.51669	303
262.53793	307
262.55917	312
262.58038	304
262.60162	313
262.62286	307
262.6441	306
262.66531	308
262.68655	307
262.70779	309
262.72903	299
262.75024	307
262.77148	308
262.79272	303
262.81396	311
262.83517	310
262.85641	299
262.87766	307
262.8989	302
262.9201	306
262.94135	306
262.96259	303
262.9838	309
263.00504	306
263.02628	308
263.04749	306
263.06873	308
263.08997	304
263.11118	313
263.13242	309
263.15366	305
263.17487	304
263.19611	306
263.21732	308
263.23856	312
263.2598	305
263.28101	306
263.30225	311
263.32346	300
263.3447	305
263.36594	307
263.38715	306
263.40839	305
263.4296	307
263.45084	303
263.47205	306
263.49329	304
263.51453	307
263.53574	308
263.55698	300
263.57819	308
263.59943	308
263.62064	306
263.64188	315
263.66309	306
263.68433	311
263.70554	305
263.72678	307
263.74799	307
263.7692	301
263.79044	310
263.81165	303
263.83289	308
263.8541	305
263.87534	306
263.89655	310
263.91779	309
263.939	302
263.96021	306
263.98145	306
264.00266	307
264.0239	310
264.0451	310
264.06631	296
264.08755	300
264.10876	299
264.12997	303
264.15121	308
264.17242	302
