Date and Time:                Fri Sep 9 14:45:49.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         1.8
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              283
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



261.36975	305
261.39099	305
261.41223	311
261.4335	304
261.45474	309
261.47598	306
261.49722	299
261.51846	297
261.5397	307
261.56094	311
261.58218	303
261.60342	307
261.62466	305
261.6459	305
261.66718	307
261.68842	305
261.70966	302
261.7309	301
261.75214	304
261.77338	302
261.79462	312
261.81586	302
261.8371	303
261.85834	308
261.87958	305
261.90082	310
261.92206	304
261.9433	308
261.96454	305
261.98578	310
262.00702	309
262.02826	309
262.0495	306
262.07071	303
262.09195	301
262.11319	306
262.13443	299
262.15567	302
262.17691	306
262.19815	303
262.21939	302
262.24063	301
262.26187	309
262.28311	303
262.30432	301
262.32556	305
262.3468	305
262.36804	301
262.38928	309
262.41052	302
262.43176	309
262.45297	301
262.47421	305
262.49545	313
262.51669	310
262.53793	303
262.55917	305
262.58038	305
262.60162	303
262.62286	306
262.6441	306
262.66531	304
262.68655	305
262.70779	305
262.72903	304
262.75024	305
262.77148	301
262.79272	303
262.81396	304
262.83517	303
262.85641	311
262.87766	307
262.8989	306
262.9201	308
262.94135	305
262.96259	304
262.9838	300
263.00504	311
263.02628	309
263.04749	306
263.06873	303
263.08997	304
263.11118	301
263.13242	303
263.15366	308
263.17487	306
263.19611	304
263.21732	303
263.23856	301
263.2598	303
263.28101	304
263.30225	303
263.32346	301
263.3447	308
263.36594	303
263.38715	308
263.40839	301
263.4296	302
263.45084	307
263.47205	300
263.49329	309
263.51453	304
263.53574	304
263.55698	299
263.57819	302
263.59943	306
263.62064	306
263.64188	304
263.66309	305
263.68433	306
263.70554	306
263.72678	302
263.74799	301
263.7692	304
263.79044	305
263.81165	303
263.83289	303
263.8541	305
263.87534	309
263.89655	305
263.91779	307
263.939	299
263.96021	303
263.98145	306
264.00266	301
264.0239	305
264.0451	304
264.06631	302
264.08755	302
264.10876	304
264.12997	301
264.15121	299
264.17242	308
