Date and Time:                Fri Sep 9 14:54:39.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         180
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              283
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



261.36975	837
261.39099	802
261.41223	775
261.4335	775
261.45474	800
261.47598	787
261.49722	767
261.51846	776
261.5397	754
261.56094	765
261.58218	770
261.60342	800
261.62466	774
261.6459	764
261.66718	758
261.68842	757
261.70966	783
261.7309	749
261.75214	824
261.77338	757
261.79462	755
261.81586	759
261.8371	791
261.85834	756
261.87958	753
261.90082	781
261.92206	755
261.9433	741
261.96454	719
261.98578	736
262.00702	730
262.02826	740
262.0495	750
262.07071	746
262.09195	756
262.11319	773
262.13443	754
262.15567	767
262.17691	778
262.19815	784
262.21939	737
262.24063	761
262.26187	735
262.28311	743
262.30432	774
262.32556	762
262.3468	738
262.36804	722
262.38928	769
262.41052	735
262.43176	741
262.45297	748
262.47421	745
262.49545	757
262.51669	768
262.53793	755
262.55917	743
262.58038	827
262.60162	748
262.62286	726
262.6441	759
262.66531	726
262.68655	806
262.70779	731
262.72903	746
262.75024	722
262.77148	735
262.79272	749
262.81396	789
262.83517	747
262.85641	730
262.87766	738
262.8989	793
262.9201	736
262.94135	751
262.96259	762
262.9838	740
263.00504	726
263.02628	724
263.04749	739
263.06873	719
263.08997	748
263.11118	713
263.13242	726
263.15366	714
263.17487	718
263.19611	715
263.21732	729
263.23856	712
263.2598	737
263.28101	723
263.30225	703
263.32346	727
263.3447	721
263.36594	695
263.38715	706
263.40839	757
263.4296	722
263.45084	706
263.47205	707
263.49329	708
263.51453	700
263.53574	706
263.55698	730
263.57819	692
263.59943	710
263.62064	700
263.64188	717
263.66309	773
263.68433	939
263.70554	735
263.72678	706
263.74799	701
263.7692	695
263.79044	725
263.81165	717
263.83289	690
263.8541	723
263.87534	708
263.89655	725
263.91779	680
263.939	685
263.96021	698
263.98145	705
264.00266	693
264.0239	736
264.0451	706
264.06631	686
264.08755	696
264.10876	719
264.12997	690
264.15121	688
264.17242	667
264.19363	686
