Date and Time:                Fri Sep 9 14:42:58.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.18
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              283
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



261.36975	6065
261.39099	5777
261.41223	5748
261.4335	5771
261.45474	5834
261.47598	5842
261.49722	5868
261.51846	5840
261.5397	5899
261.56094	5839
261.58218	5809
261.60342	5791
261.62466	5823
261.6459	5868
261.66718	5863
261.68842	5859
261.70966	5868
261.7309	5896
261.75214	5917
261.77338	5870
261.79462	5859
261.81586	5901
261.8371	5882
261.85834	5882
261.87958	5896
261.90082	5839
261.92206	5842
261.9433	5819
261.96454	5832
261.98578	5919
262.00702	5943
262.02826	5973
262.0495	5961
262.07071	5931
262.09195	5917
262.11319	5929
262.13443	5967
262.15567	6009
262.17691	6058
262.19815	6082
262.21939	6050
262.24063	6072
262.26187	6089
262.28311	6087
262.30432	6077
262.32556	6112
262.3468	6121
262.36804	6128
262.38928	6091
262.41052	6083
262.43176	6135
262.45297	6115
262.47421	6109
262.49545	6140
262.51669	6115
262.53793	6104
262.55917	6082
262.58038	6109
262.60162	6154
262.62286	6178
262.6441	6202
262.66531	6226
262.68655	6235
262.70779	6201
262.72903	6177
262.75024	6232
262.77148	6235
262.79272	6202
262.81396	6207
262.83517	6235
262.85641	6206
262.87766	6211
262.8989	6128
262.9201	6131
262.94135	6129
262.96259	6168
262.9838	6167
263.00504	6165
263.02628	6164
263.04749	6136
263.06873	6176
263.08997	6148
263.11118	6198
263.13242	6206
263.15366	6257
263.17487	6251
263.19611	6251
263.21732	6247
263.23856	6176
263.2598	6177
263.28101	6204
263.30225	6268
263.32346	6260
263.3447	6263
263.36594	6222
263.38715	6256
263.40839	6206
263.4296	6242
263.45084	6323
263.47205	6314
263.49329	6333
263.51453	6348
263.53574	6332
263.55698	6296
263.57819	6373
263.59943	6368
263.62064	6412
263.64188	6416
263.66309	6451
263.68433	6410
263.70554	6497
263.72678	6505
263.74799	6545
263.7692	6532
263.79044	6533
263.81165	6494
