Date and Time:                Thu Feb 2 17:00:28.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.3
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              283
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



261.36975	304
261.39099	302
261.41223	299
261.4335	294
261.45474	302
261.47598	304
261.49722	292
261.51846	304
261.5397	299
261.56094	297
261.58218	305
261.60342	301
261.62466	303
261.6459	304
261.66718	301
261.68842	303
261.70966	304
261.7309	304
261.75214	306
261.77338	299
261.79462	299
261.81586	304
261.8371	301
261.85834	300
261.87958	303
261.90082	305
261.92206	297
261.9433	303
261.96454	297
261.98578	301
262.00702	306
262.02826	301
262.0495	295
262.07071	304
262.09195	303
262.11319	307
262.13443	295
262.15567	297
262.17691	302
262.19815	304
262.21939	304
262.24063	298
262.26187	300
262.28311	305
262.30432	305
262.32556	300
262.3468	300
262.36804	306
262.38928	298
262.41052	302
262.43176	300
262.45297	298
262.47421	303
262.49545	302
262.51669	295
262.53793	301
262.55917	300
262.58038	303
262.60162	301
262.62286	302
262.6441	303
262.66531	306
262.68655	300
262.70779	300
262.72903	305
262.75024	302
262.77148	307
262.79272	295
262.81396	304
262.83517	302
262.85641	304
262.87766	304
262.8989	304
262.9201	306
262.94135	301
262.96259	301
262.9838	306
263.00504	303
263.02628	304
263.04749	302
263.06873	297
263.08997	306
263.11118	301
263.13242	302
263.15366	302
263.17487	299
263.19611	299
263.21732	303
263.23856	304
263.2598	297
263.28101	296
263.30225	299
263.32346	303
263.3447	298
263.36594	302
263.38715	304
263.40839	301
263.4296	298
263.45084	301
263.47205	301
263.49329	304
263.51453	300
263.53574	303
263.55698	301
263.57819	309
263.59943	302
263.62064	299
263.64188	303
263.66309	303
263.68433	307
263.70554	302
263.72678	304
263.74799	293
263.7692	308
263.79044	305
263.81165	301
263.83289	301
263.8541	305
263.87534	302
263.89655	294
263.91779	302
263.939	298
263.96021	294
263.98145	299
264.00266	304
264.0239	304
264.0451	303
264.06631	300
264.08755	300
264.10876	304
264.12997	295
264.15121	298
264.17242	297
