Date and Time:                Thu Feb 2 16:56:40.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         2.5
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              283
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



261.36975	308
261.39099	315
261.41223	312
261.4335	309
261.45474	312
261.47598	308
261.49722	302
261.51846	305
261.5397	311
261.56094	309
261.58218	306
261.60342	305
261.62466	311
261.6459	311
261.66718	316
261.68842	305
261.70966	306
261.7309	307
261.75214	310
261.77338	314
261.79462	307
261.81586	313
261.8371	310
261.85834	305
261.87958	309
261.90082	306
261.92206	310
261.9433	304
261.96454	314
261.98578	308
262.00702	309
262.02826	304
262.0495	307
262.07071	304
262.09195	300
262.11319	312
262.13443	310
262.15567	306
262.17691	309
262.19815	302
262.21939	301
262.24063	300
262.26187	306
262.28311	307
262.30432	313
262.32556	304
262.3468	311
262.36804	306
262.38928	308
262.41052	308
262.43176	310
262.45297	307
262.47421	305
262.49545	307
262.51669	310
262.53793	302
262.55917	306
262.58038	306
262.60162	299
262.62286	304
262.6441	305
262.66531	305
262.68655	312
262.70779	311
262.72903	306
262.75024	303
262.77148	306
262.79272	306
262.81396	307
262.83517	306
262.85641	313
262.87766	302
262.8989	308
262.9201	297
262.94135	312
262.96259	308
262.9838	306
263.00504	304
263.02628	310
263.04749	306
263.06873	306
263.08997	306
263.11118	305
263.13242	311
263.15366	302
263.17487	307
263.19611	308
263.21732	306
263.23856	302
263.2598	314
263.28101	307
263.30225	308
263.32346	309
263.3447	311
263.36594	310
263.38715	303
263.40839	308
263.4296	308
263.45084	303
263.47205	307
263.49329	310
263.51453	308
263.53574	304
263.55698	311
263.57819	310
263.59943	304
263.62064	303
263.64188	309
263.66309	307
263.68433	304
263.70554	306
263.72678	308
263.74799	300
263.7692	299
263.79044	305
263.81165	312
263.83289	309
263.8541	305
263.87534	310
263.89655	307
263.91779	310
263.939	310
263.96021	305
263.98145	306
264.00266	307
264.0239	310
264.0451	302
264.06631	304
264.08755	304
264.10876	307
264.12997	314
264.15121	305
264.17242	306
