Date and Time:                Thu Feb 2 16:58:05.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         2.5
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              283
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



261.36975	305
261.39099	303
261.41223	311
261.4335	312
261.45474	304
261.47598	309
261.49722	304
261.51846	308
261.5397	304
261.56094	305
261.58218	304
261.60342	304
261.62466	309
261.6459	303
261.66718	308
261.68842	306
261.70966	305
261.7309	306
261.75214	300
261.77338	303
261.79462	301
261.81586	299
261.8371	304
261.85834	307
261.87958	301
261.90082	306
261.92206	306
261.9433	307
261.96454	310
261.98578	305
262.00702	302
262.02826	310
262.0495	304
262.07071	303
262.09195	303
262.11319	310
262.13443	293
262.15567	304
262.17691	313
262.19815	303
262.21939	304
262.24063	306
262.26187	306
262.28311	305
262.30432	299
262.32556	302
262.3468	308
262.36804	308
262.38928	305
262.41052	302
262.43176	301
262.45297	304
262.47421	310
262.49545	301
262.51669	302
262.53793	308
262.55917	310
262.58038	307
262.60162	311
262.62286	302
262.6441	302
262.66531	303
262.68655	304
262.70779	305
262.72903	305
262.75024	300
262.77148	311
262.79272	304
262.81396	308
262.83517	310
262.85641	301
262.87766	300
262.8989	310
262.9201	303
262.94135	308
262.96259	308
262.9838	309
263.00504	308
263.02628	304
263.04749	297
263.06873	301
263.08997	307
263.11118	303
263.13242	307
263.15366	307
263.17487	304
263.19611	301
263.21732	309
263.23856	301
263.2598	303
263.28101	306
263.30225	306
263.32346	303
263.3447	304
263.36594	304
263.38715	301
263.40839	305
263.4296	301
263.45084	309
263.47205	305
263.49329	307
263.51453	304
263.53574	305
263.55698	305
263.57819	301
263.59943	303
263.62064	310
263.64188	306
263.66309	299
263.68433	307
263.70554	307
263.72678	303
263.74799	303
263.7692	306
263.79044	303
263.81165	307
263.83289	309
263.8541	305
263.87534	305
263.89655	307
263.91779	303
263.939	302
263.96021	305
263.98145	300
264.00266	306
264.0239	303
264.0451	304
264.06631	304
264.08755	297
264.10876	311
264.12997	306
264.15121	305
264.17242	306
