Date and Time:                Thu Feb 2 16:57:25.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         2.5
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              283
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



261.36975	301
261.39099	303
261.41223	303
261.4335	301
261.45474	308
261.47598	302
261.49722	306
261.51846	302
261.5397	306
261.56094	312
261.58218	305
261.60342	307
261.62466	308
261.6459	305
261.66718	311
261.68842	308
261.70966	308
261.7309	311
261.75214	309
261.77338	312
261.79462	315
261.81586	309
261.8371	305
261.85834	302
261.87958	313
261.90082	299
261.92206	308
261.9433	305
261.96454	308
261.98578	303
262.00702	304
262.02826	307
262.0495	306
262.07071	304
262.09195	307
262.11319	311
262.13443	308
262.15567	301
262.17691	307
262.19815	302
262.21939	307
262.24063	307
262.26187	308
262.28311	304
262.30432	299
262.32556	309
262.3468	308
262.36804	300
262.38928	309
262.41052	303
262.43176	308
262.45297	306
262.47421	304
262.49545	302
262.51669	304
262.53793	302
262.55917	312
262.58038	306
262.60162	307
262.62286	306
262.6441	310
262.66531	303
262.68655	305
262.70779	303
262.72903	304
262.75024	305
262.77148	299
262.79272	303
262.81396	310
262.83517	301
262.85641	305
262.87766	310
262.8989	303
262.9201	303
262.94135	301
262.96259	309
262.9838	309
263.00504	303
263.02628	305
263.04749	305
263.06873	307
263.08997	311
263.11118	302
263.13242	307
263.15366	299
263.17487	311
263.19611	309
263.21732	302
263.23856	302
263.2598	305
263.28101	307
263.30225	306
263.32346	304
263.3447	301
263.36594	306
263.38715	303
263.40839	306
263.4296	300
263.45084	305
263.47205	298
263.49329	305
263.51453	307
263.53574	304
263.55698	301
263.57819	308
263.59943	306
263.62064	300
263.64188	306
263.66309	304
263.68433	304
263.70554	307
263.72678	304
263.74799	309
263.7692	299
263.79044	307
263.81165	308
263.83289	305
263.8541	311
263.87534	306
263.89655	303
263.91779	307
263.939	304
263.96021	308
263.98145	308
264.00266	305
264.0239	311
264.0451	306
264.06631	303
264.08755	302
264.10876	313
264.12997	304
264.15121	304
264.17242	301
