Date and Time:                Thu Feb 2 16:55:34.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.3
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              283
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



261.36975	6878
261.39099	6560
261.41223	6554
261.4335	6497
261.45474	6534
261.47598	6581
261.49722	6656
261.51846	6563
261.5397	6553
261.56094	6542
261.58218	6554
261.60342	6486
261.62466	6410
261.6459	6500
261.66718	6512
261.68842	6510
261.70966	6534
261.7309	6518
261.75214	6528
261.77338	6502
261.79462	6534
261.81586	6527
261.8371	6512
261.85834	6547
261.87958	6548
261.90082	6536
261.92206	6577
261.9433	6567
261.96454	6540
261.98578	6540
262.00702	6617
262.02826	6595
262.0495	6632
262.07071	6595
262.09195	6610
262.11319	6597
262.13443	6637
262.15567	6646
262.17691	6685
262.19815	6679
262.21939	6667
262.24063	6649
262.26187	6646
262.28311	6656
262.30432	6659
262.32556	6719
262.3468	6759
262.36804	6724
262.38928	6700
262.41052	6712
262.43176	6670
262.45297	6714
262.47421	6751
262.49545	6752
262.51669	6771
262.53793	6764
262.55917	6735
262.58038	6726
262.60162	6822
262.62286	6804
262.6441	6798
262.66531	6828
262.68655	6839
262.70779	6819
262.72903	6839
262.75024	6842
262.77148	6817
262.79272	6781
262.81396	6765
262.83517	6709
262.85641	6692
262.87766	6689
262.8989	6704
262.9201	6705
262.94135	6701
262.96259	6703
262.9838	6688
263.00504	6705
263.02628	6705
263.04749	6706
263.06873	6731
263.08997	6764
263.11118	6809
263.13242	6866
263.15366	6830
263.17487	6872
263.19611	6906
263.21732	6844
263.23856	6820
263.2598	6832
263.28101	6829
263.30225	6886
263.32346	6835
263.3447	6810
263.36594	6875
263.38715	6821
263.40839	6807
263.4296	6814
263.45084	6882
263.47205	6904
263.49329	6926
263.51453	6846
263.53574	6875
263.55698	6904
263.57819	6962
263.59943	7012
263.62064	7001
263.64188	7099
263.66309	7072
263.68433	7067
263.70554	7107
263.72678	7050
263.74799	7020
263.7692	7077
263.79044	7096
263.81165	7097
