Date and Time:                Thu Oct 27 15:41:47.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         2.5
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              283.2
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



261.5708	305
261.59204	315
261.61328	302
261.63452	304
261.65576	307
261.677	302
261.69827	302
261.71951	302
261.74075	304
261.76199	307
261.78323	306
261.80447	308
261.82571	302
261.84695	307
261.86819	309
261.88943	297
261.91068	303
261.93192	305
261.95316	307
261.9744	302
261.99564	296
262.01688	298
262.03812	306
262.05936	306
262.0806	301
262.10184	301
262.12308	306
262.14432	298
262.16556	303
262.1868	304
262.20801	297
262.22925	305
262.25049	307
262.27173	301
262.29297	302
262.31421	306
262.33545	304
262.35669	301
262.37793	302
262.39917	308
262.42038	307
262.44162	303
262.46286	307
262.4841	304
262.50534	300
262.52658	304
262.54782	305
262.56903	304
262.59027	307
262.61151	309
262.63275	301
262.65399	304
262.6752	305
262.69644	306
262.71768	305
262.73892	303
262.76016	306
262.78137	306
262.80261	303
262.82385	308
262.84509	302
262.8663	307
262.88754	305
262.90878	309
262.93002	306
262.95123	306
262.97247	305
262.99371	304
263.01492	306
263.03616	300
263.0574	303
263.07861	307
263.09985	303
263.12109	303
263.1423	309
263.16354	300
263.18478	309
263.20599	303
263.22723	307
263.24847	305
263.26968	303
263.29092	299
263.31216	311
263.33337	299
263.35461	308
263.37582	305
263.39706	305
263.4183	300
263.43951	304
263.46075	312
263.48196	305
263.5032	309
263.52441	296
263.54565	306
263.56686	308
263.5881	306
263.60934	309
263.63055	304
263.65179	303
263.673	307
263.69424	309
263.71545	301
263.73669	306
263.7579	306
263.77914	308
263.80035	297
263.82159	307
263.8428	306
263.86401	295
263.88525	306
263.90646	306
263.9277	310
263.94891	304
263.97015	306
263.99136	300
264.0126	302
264.03381	306
264.05502	304
264.07626	304
264.09747	304
264.11868	306
264.13992	302
264.16113	301
264.18237	305
264.20358	307
264.22479	301
264.24603	304
264.26724	308
264.28845	304
264.30969	305
264.3309	308
264.35211	309
264.37335	306
