Date and Time:                Thu Oct 27 15:27:33.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         2.5
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              283.2
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



261.5708	304
261.59204	310
261.61328	303
261.63452	301
261.65576	309
261.677	303
261.69827	309
261.71951	309
261.74075	309
261.76199	306
261.78323	306
261.80447	303
261.82571	305
261.84695	307
261.86819	301
261.88943	303
261.91068	309
261.93192	305
261.95316	298
261.9744	307
261.99564	306
262.01688	311
262.03812	307
262.05936	304
262.0806	306
262.10184	301
262.12308	304
262.14432	305
262.16556	307
262.1868	304
262.20801	297
262.22925	302
262.25049	304
262.27173	304
262.29297	310
262.31421	304
262.33545	310
262.35669	299
262.37793	309
262.39917	307
262.42038	309
262.44162	306
262.46286	301
262.4841	309
262.50534	303
262.52658	309
262.54782	307
262.56903	309
262.59027	306
262.61151	298
262.63275	304
262.65399	306
262.6752	298
262.69644	306
262.71768	306
262.73892	307
262.76016	301
262.78137	306
262.80261	308
262.82385	307
262.84509	301
262.8663	304
262.88754	304
262.90878	305
262.93002	303
262.95123	304
262.97247	303
262.99371	299
263.01492	310
263.03616	303
263.0574	306
263.07861	300
263.09985	307
263.12109	303
263.1423	310
263.16354	308
263.18478	305
263.20599	303
263.22723	305
263.24847	302
263.26968	304
263.29092	303
263.31216	305
263.33337	306
263.35461	304
263.37582	305
263.39706	308
263.4183	305
263.43951	303
263.46075	311
263.48196	299
263.5032	300
263.52441	301
263.54565	304
263.56686	301
263.5881	306
263.60934	305
263.63055	300
263.65179	303
263.673	304
263.69424	304
263.71545	305
263.73669	308
263.7579	303
263.77914	307
263.80035	302
263.82159	301
263.8428	309
263.86401	307
263.88525	303
263.90646	304
263.9277	311
263.94891	299
263.97015	302
263.99136	304
264.0126	298
264.03381	306
264.05502	307
264.07626	297
264.09747	301
264.11868	310
264.13992	308
264.16113	304
264.18237	308
264.20358	304
264.22479	306
264.24603	302
264.26724	302
264.28845	304
264.30969	306
264.3309	303
264.35211	301
264.37335	299
