Date and Time:                Thu Oct 27 15:36:18.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         2.5
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              283.2
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



261.5708	307
261.59204	305
261.61328	304
261.63452	305
261.65576	307
261.677	301
261.69827	303
261.71951	309
261.74075	302
261.76199	304
261.78323	301
261.80447	310
261.82571	301
261.84695	298
261.86819	310
261.88943	305
261.91068	305
261.93192	304
261.95316	305
261.9744	312
261.99564	306
262.01688	304
262.03812	302
262.05936	307
262.0806	307
262.10184	300
262.12308	305
262.14432	305
262.16556	307
262.1868	307
262.20801	304
262.22925	301
262.25049	308
262.27173	302
262.29297	309
262.31421	303
262.33545	306
262.35669	303
262.37793	308
262.39917	300
262.42038	302
262.44162	305
262.46286	299
262.4841	312
262.50534	306
262.52658	301
262.54782	304
262.56903	306
262.59027	302
262.61151	303
262.63275	301
262.65399	310
262.6752	305
262.69644	305
262.71768	302
262.73892	309
262.76016	309
262.78137	308
262.80261	302
262.82385	300
262.84509	309
262.8663	304
262.88754	305
262.90878	298
262.93002	299
262.95123	300
262.97247	304
262.99371	311
263.01492	305
263.03616	296
263.0574	308
263.07861	304
263.09985	310
263.12109	305
263.1423	303
263.16354	306
263.18478	302
263.20599	309
263.22723	308
263.24847	308
263.26968	308
263.29092	308
263.31216	296
263.33337	303
263.35461	305
263.37582	309
263.39706	303
263.4183	303
263.43951	305
263.46075	300
263.48196	306
263.5032	304
263.52441	305
263.54565	299
263.56686	306
263.5881	311
263.60934	305
263.63055	306
263.65179	305
263.673	301
263.69424	303
263.71545	306
263.73669	310
263.7579	296
263.77914	303
263.80035	310
263.82159	305
263.8428	305
263.86401	306
263.88525	304
263.90646	306
263.9277	304
263.94891	305
263.97015	304
263.99136	307
264.0126	305
264.03381	301
264.05502	305
264.07626	310
264.09747	289
264.11868	311
264.13992	302
264.16113	309
264.18237	304
264.20358	300
264.22479	306
264.24603	303
264.26724	301
264.28845	308
264.30969	305
264.3309	300
264.35211	301
264.37335	303
