Date and Time:                Thu Oct 27 15:19:38.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.25
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              283.2
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



261.5708	5731
261.59204	5462
261.61328	5466
261.63452	5421
261.65576	5439
261.677	5489
261.69827	5482
261.71951	5482
261.74075	5491
261.76199	5453
261.78323	5475
261.80447	5413
261.82571	5381
261.84695	5408
261.86819	5405
261.88943	5466
261.91068	5464
261.93192	5450
261.95316	5489
261.9744	5457
261.99564	5416
262.01688	5488
262.03812	5476
262.05936	5446
262.0806	5495
262.10184	5442
262.12308	5494
262.14432	5487
262.16556	5508
262.1868	5520
262.20801	5498
262.22925	5555
262.25049	5589
262.27173	5558
262.29297	5558
262.31421	5604
262.33545	5580
262.35669	5608
262.37793	5625
262.39917	5631
262.42038	5606
262.44162	5590
262.46286	5557
262.4841	5529
262.50534	5586
262.52658	5657
262.54782	5629
262.56903	5673
262.59027	5648
262.61151	5645
262.63275	5648
262.65399	5640
262.6752	5650
262.69644	5705
262.71768	5703
262.73892	5722
262.76016	5706
262.78137	5714
262.80261	5726
262.82385	5755
262.84509	5743
262.8663	5740
262.88754	5764
262.90878	5741
262.93002	5759
262.95123	5727
262.97247	5749
262.99371	5752
263.01492	5684
263.03616	5634
263.0574	5659
263.07861	5667
263.09985	5642
263.12109	5678
263.1423	5664
263.16354	5649
263.18478	5683
263.20599	5657
263.22723	5682
263.24847	5656
263.26968	5693
263.29092	5711
263.31216	5717
263.33337	5777
263.35461	5776
263.37582	5813
263.39706	5798
263.4183	5799
263.43951	5755
263.46075	5802
263.48196	5786
263.5032	5812
263.52441	5768
263.54565	5770
263.56686	5735
263.5881	5786
263.60934	5775
263.63055	5800
263.65179	5843
263.673	5855
263.69424	5871
263.71545	5848
263.73669	5851
263.7579	5838
263.77914	5910
263.80035	5901
263.82159	5926
263.8428	5984
263.86401	5907
263.88525	5973
263.90646	5945
263.9277	5920
263.94891	5908
263.97015	5940
263.99136	5984
264.0126	5985
