Date and Time:                Sat Nov 11 15:19:14.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.02
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              300
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



278.45877	10060
278.47992	9525
278.50107	9633
278.52225	9671
278.5434	9666
278.56454	9684
278.58572	9719
278.60687	9739
278.62802	9730
278.6492	9682
278.67035	9739
278.6915	9748
278.71268	9730
278.73383	9732
278.75497	9726
278.77615	9771
278.7973	9790
278.81845	9794
278.83963	9777
278.86078	9825
278.88193	9782
278.90308	9766
278.92426	9801
278.9454	9789
278.96655	9797
278.9877	9831
279.00888	9846
279.03003	9885
279.05118	9849
279.07233	9892
279.09348	9899
279.11465	9897
279.1358	9911
279.15695	9882
279.1781	9909
279.19925	9940
279.22043	9948
279.24158	9981
279.26273	9957
279.28387	9995
279.30502	9977
279.32617	9972
279.34732	9984
279.3685	9989
279.38965	10000
279.4108	9999
279.43195	10039
279.45309	10048
279.47424	10070
279.49539	10033
279.51654	10136
279.53769	10079
279.55884	10107
279.58002	10128
279.60117	10124
279.62231	10118
279.64346	10141
279.66461	10166
279.68576	10173
279.70691	10226
279.72806	10193
279.74921	10199
279.77036	10212
279.7915	10269
279.81265	10237
279.8338	10235
279.85495	10277
279.8761	10271
279.89725	10238
279.9184	10261
279.93954	10300
279.96069	10314
279.98184	10269
280.00299	10295
280.02411	10357
280.04526	10401
280.06641	10368
280.08755	10369
280.1087	10399
280.12985	10398
280.151	10398
280.17215	10406
280.1933	10445
280.21445	10458
280.23557	10444
280.25671	10475
280.27786	10479
280.29901	10477
280.32016	10455
280.34131	10437
280.36246	10477
280.38358	10440
280.40472	10436
280.42587	10418
280.44702	10471
280.46817	10495
280.48929	10505
280.51044	10503
280.53159	10502
280.55273	10528
280.57388	10501
280.595	10485
280.61615	10527
280.6373	10513
280.65845	10535
280.67957	10564
280.70071	10574
280.72186	10601
280.74301	10626
280.76413	10571
280.78528	10645
280.80643	10618
280.82755	10612
280.84869	10615
280.86984	10647
280.89096	10618
280.91211	10631
