Date and Time:                Sat Nov 11 15:13:06.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.1
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              300
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



278.45877	302
278.47992	305
278.50107	304
278.52225	305
278.5434	304
278.56454	299
278.58572	303
278.60687	311
278.62802	305
278.6492	302
278.67035	304
278.6915	305
278.71268	307
278.73383	300
278.75497	310
278.77615	309
278.7973	306
278.81845	305
278.83963	306
278.86078	305
278.88193	304
278.90308	309
278.92426	303
278.9454	302
278.96655	307
278.9877	296
279.00888	300
279.03003	302
279.05118	303
279.07233	303
279.09348	307
279.11465	309
279.1358	303
279.15695	304
279.1781	302
279.19925	307
279.22043	304
279.24158	303
279.26273	306
279.28387	306
279.30502	305
279.32617	302
279.34732	299
279.3685	306
279.38965	299
279.4108	302
279.43195	304
279.45309	300
279.47424	306
279.49539	305
279.51654	301
279.53769	298
279.55884	302
279.58002	303
279.60117	305
279.62231	305
279.64346	303
279.66461	308
279.68576	302
279.70691	302
279.72806	304
279.74921	306
279.77036	304
279.7915	309
279.81265	302
279.8338	302
279.85495	306
279.8761	301
279.89725	303
279.9184	303
279.93954	304
279.96069	307
279.98184	304
280.00299	299
280.02411	300
280.04526	303
280.06641	301
280.08755	306
280.1087	305
280.12985	304
280.151	306
280.17215	297
280.1933	301
280.21445	307
280.23557	300
280.25671	304
280.27786	303
280.29901	305
280.32016	309
280.34131	302
280.36246	303
280.38358	300
280.40472	300
280.42587	303
280.44702	298
280.46817	304
280.48929	301
280.51044	305
280.53159	308
280.55273	307
280.57388	299
280.595	308
280.61615	301
280.6373	303
280.65845	303
280.67957	300
280.70071	302
280.72186	306
280.74301	301
280.76413	302
280.78528	304
280.80643	307
280.82755	305
280.84869	304
280.86984	306
280.89096	307
280.91211	304
280.93326	307
280.95438	308
280.97552	312
280.99667	298
281.01779	305
281.03894	300
281.06009	301
281.08121	303
281.10236	302
281.12347	298
281.14462	299
281.16577	303
281.18689	303
281.20804	301
281.22916	307
281.25031	303
