Date and Time:                Thu Apr 7 14:18:12.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         1.5
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              300
Grating Groove Density (l/mm):2400
Grating Blaze:                BH
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



290.24313	310
290.25275	310
290.26236	300
290.27197	310
290.28159	303
290.2912	303
290.30084	308
290.31046	301
290.32007	310
290.32968	307
290.33929	305
290.34891	311
290.35852	306
290.36813	308
290.37775	307
290.38736	302
290.39697	307
290.40659	308
290.4162	304
290.42581	301
290.43542	303
290.44504	302
290.45465	310
290.46426	314
290.47388	307
290.48349	301
290.4931	307
290.50272	305
290.51233	300
290.52194	306
290.53156	304
290.54117	301
290.55078	300
290.56039	302
290.57001	305
290.57962	303
290.58923	309
290.59885	309
290.60846	307
290.61807	306
290.62769	302
290.6373	306
290.64691	309
290.65652	304
290.66611	307
290.67572	303
290.68533	307
290.69495	307
290.70456	305
290.71417	305
290.72379	305
290.7334	310
290.74301	309
290.75259	308
290.76221	301
290.77182	300
290.78143	303
290.79105	306
290.80066	299
290.81027	306
290.81985	308
290.82947	309
290.83908	305
290.84869	301
290.85831	301
290.86789	302
290.8775	304
290.88712	306
290.89673	304
290.90634	307
290.91592	303
290.92554	309
290.93515	305
290.94476	308
290.95435	309
290.96396	304
290.97357	308
290.98318	300
290.99277	307
291.00238	310
291.01199	308
291.02161	303
291.03119	305
291.0408	309
291.05042	299
291.06003	303
291.06961	309
291.07922	309
291.08884	300
291.09842	303
291.10803	306
291.11765	305
291.12723	305
291.13684	304
291.14645	295
291.15604	303
291.16565	309
291.17526	310
291.18484	309
291.19446	303
291.20407	305
291.21365	306
291.22327	301
291.23285	302
291.24246	306
291.25208	298
291.26166	299
291.27127	299
291.28085	307
291.29047	309
291.30008	302
291.30966	306
291.31927	312
291.32886	309
291.33847	306
291.34805	308
291.35767	305
291.36728	305
291.37686	306
291.38647	300
291.39606	303
291.40567	306
291.41525	300
291.42487	301
291.43445	304
291.44406	308
291.45364	308
291.46326	306
291.47284	307
291.48245	305
291.49203	307
291.50165	308
291.51123	302
