Date and Time:                Thu Apr 7 14:09:43.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.4
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              300
Grating Groove Density (l/mm):2400
Grating Blaze:                BH
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



290.24313	31712
290.25275	30299
290.26236	30479
290.27197	30615
290.28159	30635
290.2912	30511
290.30084	30120
290.31046	30323
290.32007	30710
290.32968	30610
290.33929	30428
290.34891	30324
290.35852	30323
290.36813	30379
290.37775	30160
290.38736	30004
290.39697	30178
290.40659	30806
290.4162	30851
290.42581	30568
290.43542	30316
290.44504	30156
290.45465	30101
290.46426	30026
290.47388	29806
290.48349	29710
290.4931	29874
290.50272	29947
290.51233	29712
290.52194	29764
290.53156	29933
290.54117	29845
290.55078	29819
290.56039	29922
290.57001	29799
290.57962	29633
290.58923	29572
290.59885	29530
290.60846	29544
290.61807	29596
290.62769	29531
290.6373	29648
290.64691	30035
290.65652	30113
290.66611	29921
290.67572	29778
290.68533	29721
290.69495	29779
290.70456	29884
290.71417	30057
290.72379	30355
290.7334	30502
290.74301	30534
290.75259	30409
290.76221	30379
290.77182	30436
290.78143	30450
290.79105	30485
290.80066	30592
290.81027	30595
290.81985	30494
290.82947	30419
290.83908	30445
290.84869	30492
290.85831	30311
290.86789	30294
290.8775	30256
290.88712	30250
290.89673	30159
290.90634	30283
290.91592	30353
290.92554	30445
290.93515	30516
290.94476	30741
290.95435	30868
290.96396	30861
290.97357	30893
290.98318	30959
290.99277	30930
291.00238	30786
291.01199	30869
291.02161	30891
291.03119	31103
291.0408	30949
291.05042	30968
291.06003	31066
291.06961	31311
291.07922	31510
291.08884	31359
291.09842	31541
291.10803	31648
291.11765	31554
291.12723	31526
291.13684	31777
291.14645	32026
291.15604	32031
291.16565	32037
291.17526	32029
291.18484	32025
291.19446	31818
291.20407	31622
291.21365	31798
291.22327	31902
291.23285	31621
291.24246	31605
291.25208	31316
291.26166	31235
291.27127	31068
291.28085	31102
291.29047	31311
291.30008	31563
291.30966	31636
291.31927	31525
291.32886	31368
291.33847	31187
291.34805	31413
291.35767	31456
