Date and Time:                Fri Oct 28 11:51:33.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.6
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              300
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



278.45877	299
278.47992	307
278.50107	303
278.52225	296
278.5434	297
278.56454	303
278.58572	302
278.60687	307
278.62802	302
278.6492	302
278.67035	303
278.6915	308
278.71268	309
278.73383	302
278.75497	305
278.77615	303
278.7973	309
278.81845	307
278.83963	307
278.86078	300
278.88193	303
278.90308	302
278.92426	304
278.9454	306
278.96655	306
278.9877	306
279.00888	303
279.03003	304
279.05118	300
279.07233	301
279.09348	305
279.11465	305
279.1358	302
279.15695	301
279.1781	300
279.19925	306
279.22043	305
279.24158	301
279.26273	297
279.28387	306
279.30502	304
279.32617	300
279.34732	305
279.3685	303
279.38965	301
279.4108	303
279.43195	303
279.45309	302
279.47424	313
279.49539	302
279.51654	304
279.53769	305
279.55884	301
279.58002	302
279.60117	297
279.62231	301
279.64346	306
279.66461	300
279.68576	300
279.70691	308
279.72806	305
279.74921	308
279.77036	303
279.7915	307
279.81265	302
279.8338	303
279.85495	302
279.8761	302
279.89725	295
279.9184	298
279.93954	305
279.96069	295
279.98184	297
280.00299	304
280.02411	299
280.04526	305
280.06641	299
280.08755	302
280.1087	302
280.12985	304
280.151	303
280.17215	306
280.1933	304
280.21445	295
280.23557	303
280.25671	303
280.27786	303
280.29901	305
280.32016	306
280.34131	303
280.36246	310
280.38358	304
280.40472	301
280.42587	308
280.44702	300
280.46817	308
280.48929	301
280.51044	302
280.53159	306
280.55273	297
280.57388	303
280.595	307
280.61615	302
280.6373	298
280.65845	305
280.67957	305
280.70071	306
280.72186	305
280.74301	300
280.76413	303
280.78528	294
280.80643	308
280.82755	300
280.84869	302
280.86984	303
280.89096	303
280.91211	301
280.93326	306
280.95438	300
280.97552	305
280.99667	308
281.01779	301
281.03894	298
281.06009	297
281.08121	304
281.10236	299
281.12347	299
281.14462	301
281.16577	310
281.18689	300
281.20804	300
281.22916	310
281.25031	300
