Date and Time:                Sat Nov 11 16:05:44.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.045
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              388
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



366.96136	297
366.98206	305
367.00275	301
367.02341	297
367.0441	298
367.06479	302
367.08548	302
367.10617	299
367.12683	303
367.14752	299
367.16821	300
367.1889	301
367.20956	301
367.23026	306
367.25095	300
367.27161	299
367.2923	302
367.31299	293
367.33368	299
367.35434	299
367.37503	301
367.39572	300
367.41638	296
367.43707	298
367.45776	300
367.47842	303
367.49911	300
367.51981	297
367.54047	301
367.56116	298
367.58182	302
367.60251	302
367.6232	300
367.64386	297
367.66455	292
367.68521	303
367.7059	299
367.72656	298
367.74725	306
367.76794	300
367.7886	298
367.8093	298
367.82996	297
367.85065	302
367.87131	302
367.892	297
367.91266	297
367.93335	298
367.95401	294
367.9747	304
367.99536	297
368.01605	304
368.03671	301
368.05737	301
368.07806	305
368.09872	299
368.11942	302
368.14008	301
368.16077	298
368.18143	301
368.20209	299
368.22278	301
368.24344	303
368.2641	305
368.28479	305
368.30545	298
368.32614	306
368.3468	302
368.36746	299
368.38815	303
368.40881	300
368.42947	299
368.45013	302
368.47083	295
368.49149	293
368.51215	292
368.53284	301
368.5535	306
368.57416	298
368.59482	302
368.61551	302
368.63617	300
368.65683	300
368.67749	299
368.69818	303
368.71884	299
368.7395	299
368.76016	302
368.78082	301
368.80151	297
368.82217	298
368.84283	307
368.86349	297
368.88416	298
368.90482	301
368.92548	300
368.94617	297
368.96683	298
368.98749	302
369.00815	303
369.02881	295
369.04947	302
369.07013	303
369.09079	301
369.11145	295
369.13211	305
369.1528	305
369.17346	302
369.19412	297
369.21478	309
369.23544	299
369.2561	304
369.27676	299
369.29742	303
369.31808	298
369.33875	301
369.35941	305
369.38007	298
369.40073	297
369.42139	298
369.44205	307
369.46268	295
369.48334	303
369.504	301
369.52466	301
369.54532	297
369.56598	301
369.58664	293
369.6073	298
369.62796	296
369.64862	301
369.66928	301
369.68991	299
