Date and Time:                Sat Nov 11 16:11:15.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.00821
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              388
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



366.96136	301
366.98206	300
367.00275	296
367.02341	300
367.0441	301
367.06479	301
367.08548	303
367.10617	295
367.12683	297
367.14752	304
367.16821	300
367.1889	303
367.20956	297
367.23026	308
367.25095	303
367.27161	300
367.2923	300
367.31299	302
367.33368	305
367.35434	298
367.37503	301
367.39572	307
367.41638	299
367.43707	300
367.45776	305
367.47842	305
367.49911	307
367.51981	299
367.54047	298
367.56116	298
367.58182	298
367.60251	307
367.6232	306
367.64386	296
367.66455	304
367.68521	299
367.7059	303
367.72656	305
367.74725	298
367.76794	303
367.7886	304
367.8093	303
367.82996	300
367.85065	305
367.87131	304
367.892	308
367.91266	304
367.93335	300
367.95401	301
367.9747	301
367.99536	306
368.01605	302
368.03671	305
368.05737	295
368.07806	302
368.09872	295
368.11942	294
368.14008	301
368.16077	301
368.18143	302
368.20209	303
368.22278	303
368.24344	299
368.2641	307
368.28479	311
368.30545	304
368.32614	299
368.3468	309
368.36746	302
368.38815	302
368.40881	296
368.42947	298
368.45013	304
368.47083	306
368.49149	304
368.51215	304
368.53284	295
368.5535	298
368.57416	305
368.59482	301
368.61551	305
368.63617	296
368.65683	299
368.67749	300
368.69818	304
368.71884	305
368.7395	302
368.76016	302
368.78082	303
368.80151	303
368.82217	301
368.84283	294
368.86349	300
368.88416	305
368.90482	298
368.92548	300
368.94617	299
368.96683	303
368.98749	303
369.00815	307
369.02881	299
369.04947	303
369.07013	305
369.09079	296
369.11145	300
369.13211	301
369.1528	305
369.17346	300
369.19412	298
369.21478	305
369.23544	296
369.2561	306
369.27676	300
369.29742	296
369.31808	301
369.33875	300
369.35941	299
369.38007	296
369.40073	299
369.42139	303
369.44205	296
369.46268	301
369.48334	295
369.504	303
369.52466	303
369.54532	302
369.56598	303
369.58664	301
369.6073	298
369.62796	308
369.64862	294
369.66928	298
369.68991	301
