Date and Time:                Thu Apr 7 12:45:09.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.3
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              388
Grating Groove Density (l/mm):2400
Grating Blaze:                BH
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



379.05273	301
379.06155	302
379.0704	300
379.07925	300
379.08807	306
379.09692	297
379.10577	307
379.11459	301
379.12344	297
379.13229	305
379.14111	301
379.14996	301
379.15881	303
379.16763	303
379.17648	300
379.18533	304
379.19415	304
379.203	303
379.21182	302
379.22067	303
379.22949	301
379.23834	303
379.24719	299
379.25601	305
379.26486	303
379.27368	300
379.28253	303
379.29135	300
379.3002	304
379.30902	304
379.31787	300
379.32672	307
379.33554	297
379.34439	303
379.35321	302
379.36206	301
379.37088	310
379.37973	301
379.38855	298
379.39737	306
379.40622	301
379.41504	298
379.42389	305
379.43271	304
379.44156	302
379.45038	303
379.45923	300
379.46805	303
379.47687	301
379.48572	299
379.49454	300
379.50339	303
379.51221	298
379.52103	306
379.52988	301
379.5387	301
379.54755	308
379.55637	300
379.56519	293
379.57404	303
379.58286	304
379.59167	305
379.60052	295
379.60934	301
379.61816	296
379.62701	303
379.63583	299
379.64465	303
379.6535	294
379.66232	301
379.67114	301
379.67996	301
379.68881	301
379.69763	306
379.70645	304
379.7153	298
379.72412	299
379.73294	308
379.74176	302
379.75061	305
379.75943	300
379.76825	300
379.77707	307
379.78589	302
379.79474	296
379.80356	307
379.81238	306
379.8212	304
379.83002	302
379.83887	302
379.84769	307
379.85651	303
379.86533	303
379.87415	307
379.88297	300
379.89182	293
379.90063	298
379.90945	297
379.91827	300
379.92709	301
379.93591	303
379.94473	309
379.95355	302
379.96237	301
379.97122	301
379.98004	299
379.98886	304
379.99768	302
380.0065	302
380.01532	300
380.02414	305
380.03296	306
380.04178	308
380.0506	301
380.05942	303
380.06824	296
380.07706	299
380.08588	305
380.0947	306
380.10352	310
380.11234	304
380.12115	304
380.12997	305
380.13879	298
380.14761	304
380.15643	302
380.16525	300
380.17407	303
380.18289	306
380.19171	301
380.20053	300
380.20935	303
380.21817	298
