Date and Time:                Thu Apr 7 12:41:22.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         1
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              388
Grating Groove Density (l/mm):2400
Grating Blaze:                BH
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



379.05273	312
379.06155	306
379.0704	312
379.07925	308
379.08807	307
379.09692	300
379.10577	309
379.11459	301
379.12344	308
379.13229	300
379.14111	309
379.14996	313
379.15881	306
379.16763	305
379.17648	302
379.18533	309
379.19415	306
379.203	299
379.21182	306
379.22067	307
379.22949	313
379.23834	306
379.24719	304
379.25601	297
379.26486	306
379.27368	307
379.28253	297
379.29135	309
379.3002	304
379.30902	303
379.31787	306
379.32672	304
379.33554	313
379.34439	305
379.35321	311
379.36206	306
379.37088	309
379.37973	298
379.38855	306
379.39737	303
379.40622	302
379.41504	313
379.42389	308
379.43271	310
379.44156	306
379.45038	311
379.45923	300
379.46805	301
379.47687	304
379.48572	302
379.49454	308
379.50339	309
379.51221	307
379.52103	304
379.52988	303
379.5387	310
379.54755	305
379.55637	300
379.56519	298
379.57404	306
379.58286	301
379.59167	303
379.60052	306
379.60934	306
379.61816	310
379.62701	307
379.63583	308
379.64465	302
379.6535	311
379.66232	303
379.67114	302
379.67996	307
379.68881	309
379.69763	303
379.70645	307
379.7153	307
379.72412	312
379.73294	306
379.74176	308
379.75061	312
379.75943	301
379.76825	305
379.77707	305
379.78589	307
379.79474	308
379.80356	304
379.81238	301
379.8212	302
379.83002	308
379.83887	304
379.84769	307
379.85651	303
379.86533	304
379.87415	307
379.88297	310
379.89182	305
379.90063	304
379.90945	299
379.91827	309
379.92709	305
379.93591	311
379.94473	309
379.95355	307
379.96237	309
379.97122	308
379.98004	307
379.98886	305
379.99768	298
380.0065	306
380.01532	307
380.02414	311
380.03296	311
380.04178	304
380.0506	304
380.05942	308
380.06824	307
380.07706	305
380.08588	301
380.0947	303
380.10352	305
380.11234	305
380.12115	307
380.12997	305
380.13879	305
380.14761	307
380.15643	307
380.16525	298
380.17407	302
380.18289	309
380.19171	307
380.20053	308
380.20935	304
380.21817	311
380.22699	300
