Date and Time:                Thu Apr 7 12:38:50.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         1
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              388
Grating Groove Density (l/mm):2400
Grating Blaze:                BH
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



379.05273	306
379.06155	304
379.0704	306
379.07925	306
379.08807	304
379.09692	303
379.10577	309
379.11459	303
379.12344	308
379.13229	305
379.14111	314
379.14996	309
379.15881	312
379.16763	303
379.17648	301
379.18533	310
379.19415	306
379.203	305
379.21182	306
379.22067	309
379.22949	301
379.23834	306
379.24719	306
379.25601	308
379.26486	308
379.27368	306
379.28253	315
379.29135	309
379.3002	307
379.30902	302
379.31787	317
379.32672	310
379.33554	305
379.34439	306
379.35321	310
379.36206	311
379.37088	303
379.37973	308
379.38855	306
379.39737	304
379.40622	304
379.41504	309
379.42389	305
379.43271	307
379.44156	311
379.45038	307
379.45923	299
379.46805	306
379.47687	308
379.48572	304
379.49454	301
379.50339	306
379.51221	309
379.52103	305
379.52988	304
379.5387	307
379.54755	307
379.55637	310
379.56519	304
379.57404	312
379.58286	308
379.59167	311
379.60052	302
379.60934	310
379.61816	299
379.62701	302
379.63583	305
379.64465	310
379.6535	303
379.66232	308
379.67114	307
379.67996	304
379.68881	306
379.69763	307
379.70645	304
379.7153	309
379.72412	299
379.73294	310
379.74176	309
379.75061	307
379.75943	306
379.76825	307
379.77707	307
379.78589	308
379.79474	313
379.80356	311
379.81238	307
379.8212	305
379.83002	305
379.83887	316
379.84769	303
379.85651	305
379.86533	304
379.87415	310
379.88297	310
379.89182	305
379.90063	310
379.90945	301
379.91827	304
379.92709	307
379.93591	306
379.94473	299
379.95355	305
379.96237	307
379.97122	303
379.98004	313
379.98886	305
379.99768	304
380.0065	306
380.01532	305
380.02414	310
380.03296	309
380.04178	306
380.0506	306
380.05942	301
380.06824	311
380.07706	306
380.08588	310
380.0947	305
380.10352	308
380.11234	307
380.12115	299
380.12997	306
380.13879	307
380.14761	303
380.15643	311
380.16525	309
380.17407	306
380.18289	301
380.19171	311
380.20053	303
380.20935	307
380.21817	308
380.22699	310
