Date and Time:                Thu Apr 7 12:37:40.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         1
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              388
Grating Groove Density (l/mm):2400
Grating Blaze:                BH
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



379.05273	303
379.06155	308
379.0704	311
379.07925	305
379.08807	301
379.09692	302
379.10577	303
379.11459	307
379.12344	305
379.13229	308
379.14111	307
379.14996	304
379.15881	305
379.16763	312
379.17648	308
379.18533	308
379.19415	310
379.203	308
379.21182	300
379.22067	313
379.22949	310
379.23834	307
379.24719	308
379.25601	306
379.26486	303
379.27368	308
379.28253	314
379.29135	307
379.3002	304
379.30902	306
379.31787	309
379.32672	309
379.33554	303
379.34439	307
379.35321	308
379.36206	303
379.37088	303
379.37973	306
379.38855	307
379.39737	307
379.40622	310
379.41504	304
379.42389	313
379.43271	306
379.44156	303
379.45038	312
379.45923	308
379.46805	311
379.47687	309
379.48572	303
379.49454	304
379.50339	309
379.51221	304
379.52103	310
379.52988	309
379.5387	311
379.54755	309
379.55637	308
379.56519	307
379.57404	306
379.58286	309
379.59167	308
379.60052	302
379.60934	301
379.61816	307
379.62701	302
379.63583	304
379.64465	307
379.6535	313
379.66232	306
379.67114	307
379.67996	308
379.68881	307
379.69763	314
379.70645	303
379.7153	310
379.72412	307
379.73294	308
379.74176	304
379.75061	303
379.75943	305
379.76825	303
379.77707	309
379.78589	307
379.79474	308
379.80356	307
379.81238	312
379.8212	305
379.83002	313
379.83887	306
379.84769	303
379.85651	304
379.86533	308
379.87415	301
379.88297	301
379.89182	304
379.90063	303
379.90945	303
379.91827	307
379.92709	306
379.93591	305
379.94473	309
379.95355	309
379.96237	302
379.97122	307
379.98004	308
379.98886	303
379.99768	314
380.0065	307
380.01532	308
380.02414	309
380.03296	309
380.04178	313
380.0506	304
380.05942	302
380.06824	307
380.07706	305
380.08588	304
380.0947	316
380.10352	307
380.11234	306
380.12115	304
380.12997	302
380.13879	304
380.14761	305
380.15643	305
380.16525	315
380.17407	302
380.18289	308
380.19171	305
380.20053	306
380.20935	305
380.21817	308
380.22699	307
