Date and Time:                Fri Oct 28 12:44:21.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.18
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              388
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



366.96136	300
366.98206	308
367.00275	297
367.02341	299
367.0441	305
367.06479	305
367.08548	305
367.10617	309
367.12683	306
367.14752	294
367.16821	299
367.1889	306
367.20956	296
367.23026	302
367.25095	307
367.27161	303
367.2923	304
367.31299	302
367.33368	303
367.35434	302
367.37503	300
367.39572	304
367.41638	305
367.43707	299
367.45776	308
367.47842	307
367.49911	300
367.51981	305
367.54047	297
367.56116	299
367.58182	310
367.60251	304
367.6232	300
367.64386	300
367.66455	302
367.68521	304
367.7059	302
367.72656	302
367.74725	303
367.76794	304
367.7886	297
367.8093	304
367.82996	302
367.85065	301
367.87131	302
367.892	301
367.91266	298
367.93335	304
367.95401	301
367.9747	300
367.99536	301
368.01605	304
368.03671	298
368.05737	308
368.07806	294
368.09872	296
368.11942	299
368.14008	302
368.16077	301
368.18143	304
368.20209	302
368.22278	302
368.24344	304
368.2641	305
368.28479	301
368.30545	305
368.32614	305
368.3468	309
368.36746	303
368.38815	299
368.40881	308
368.42947	304
368.45013	305
368.47083	303
368.49149	307
368.51215	304
368.53284	302
368.5535	300
368.57416	304
368.59482	301
368.61551	301
368.63617	300
368.65683	299
368.67749	299
368.69818	302
368.71884	303
368.7395	298
368.76016	300
368.78082	300
368.80151	301
368.82217	309
368.84283	308
368.86349	299
368.88416	302
368.90482	304
368.92548	300
368.94617	304
368.96683	305
368.98749	303
369.00815	300
369.02881	297
369.04947	297
369.07013	307
369.09079	305
369.11145	303
369.13211	300
369.1528	298
369.17346	298
369.19412	302
369.21478	303
369.23544	299
369.2561	303
369.27676	298
369.29742	299
369.31808	302
369.33875	297
369.35941	303
369.38007	304
369.40073	299
369.42139	306
369.44205	295
369.46268	296
369.48334	297
369.504	299
369.52466	305
369.54532	303
369.56598	302
369.58664	306
369.6073	311
369.62796	306
369.64862	296
369.66928	303
369.68991	299
