Date and Time:                Fri Oct 28 12:35:21.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.18
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              388
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



366.96136	298
366.98206	302
367.00275	306
367.02341	300
367.0441	304
367.06479	296
367.08548	307
367.10617	294
367.12683	301
367.14752	295
367.16821	301
367.1889	300
367.20956	297
367.23026	301
367.25095	303
367.27161	302
367.2923	304
367.31299	295
367.33368	302
367.35434	302
367.37503	300
367.39572	294
367.41638	298
367.43707	294
367.45776	304
367.47842	305
367.49911	301
367.51981	296
367.54047	303
367.56116	298
367.58182	303
367.60251	305
367.6232	307
367.64386	302
367.66455	302
367.68521	299
367.7059	306
367.72656	299
367.74725	295
367.76794	302
367.7886	304
367.8093	303
367.82996	306
367.85065	300
367.87131	301
367.892	304
367.91266	297
367.93335	298
367.95401	299
367.9747	300
367.99536	307
368.01605	304
368.03671	303
368.05737	299
368.07806	305
368.09872	301
368.11942	304
368.14008	306
368.16077	303
368.18143	303
368.20209	299
368.22278	302
368.24344	298
368.2641	296
368.28479	301
368.30545	300
368.32614	309
368.3468	307
368.36746	301
368.38815	297
368.40881	300
368.42947	307
368.45013	300
368.47083	299
368.49149	295
368.51215	302
368.53284	301
368.5535	304
368.57416	293
368.59482	300
368.61551	303
368.63617	298
368.65683	301
368.67749	297
368.69818	303
368.71884	303
368.7395	299
368.76016	300
368.78082	304
368.80151	299
368.82217	304
368.84283	305
368.86349	304
368.88416	299
368.90482	303
368.92548	311
368.94617	305
368.96683	300
368.98749	302
369.00815	307
369.02881	303
369.04947	304
369.07013	304
369.09079	303
369.11145	300
369.13211	295
369.1528	306
369.17346	307
369.19412	297
369.21478	301
369.23544	304
369.2561	300
369.27676	301
369.29742	301
369.31808	300
369.33875	302
369.35941	298
369.38007	305
369.40073	301
369.42139	301
369.44205	299
369.46268	301
369.48334	304
369.504	308
369.52466	300
369.54532	300
369.56598	301
369.58664	299
369.6073	304
369.62796	301
369.64862	306
369.66928	303
369.68991	298
