Date and Time:                Fri Oct 28 12:50:13.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.04
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              388
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



366.96136	301
366.98206	303
367.00275	299
367.02341	302
367.0441	302
367.06479	300
367.08548	293
367.10617	297
367.12683	305
367.14752	303
367.16821	302
367.1889	296
367.20956	301
367.23026	305
367.25095	298
367.27161	298
367.2923	301
367.31299	296
367.33368	300
367.35434	298
367.37503	301
367.39572	296
367.41638	301
367.43707	297
367.45776	301
367.47842	298
367.49911	294
367.51981	299
367.54047	297
367.56116	308
367.58182	305
367.60251	305
367.6232	303
367.64386	303
367.66455	298
367.68521	296
367.7059	302
367.72656	301
367.74725	309
367.76794	302
367.7886	300
367.8093	305
367.82996	302
367.85065	301
367.87131	303
367.892	299
367.91266	300
367.93335	296
367.95401	298
367.9747	301
367.99536	298
368.01605	299
368.03671	300
368.05737	300
368.07806	297
368.09872	302
368.11942	302
368.14008	300
368.16077	295
368.18143	302
368.20209	305
368.22278	296
368.24344	302
368.2641	301
368.28479	305
368.30545	302
368.32614	300
368.3468	298
368.36746	303
368.38815	298
368.40881	301
368.42947	300
368.45013	298
368.47083	300
368.49149	301
368.51215	307
368.53284	305
368.5535	301
368.57416	295
368.59482	296
368.61551	302
368.63617	302
368.65683	302
368.67749	301
368.69818	301
368.71884	298
368.7395	298
368.76016	299
368.78082	307
368.80151	305
368.82217	300
368.84283	303
368.86349	292
368.88416	303
368.90482	303
368.92548	305
368.94617	303
368.96683	296
368.98749	297
369.00815	301
369.02881	298
369.04947	302
369.07013	299
369.09079	301
369.11145	293
369.13211	301
369.1528	297
369.17346	299
369.19412	297
369.21478	303
369.23544	304
369.2561	304
369.27676	297
369.29742	302
369.31808	305
369.33875	292
369.35941	296
369.38007	298
369.40073	301
369.42139	306
369.44205	303
369.46268	299
369.48334	300
369.504	301
369.52466	304
369.54532	301
369.56598	300
369.58664	302
369.6073	299
369.62796	298
369.64862	295
369.66928	306
369.68991	301
