Date and Time:                Fri Oct 28 12:49:51.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.04
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              388
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



366.96136	23070
366.98206	22127
367.00275	21954
367.02341	21888
367.0441	22011
367.06479	22350
367.08548	22236
367.10617	22101
367.12683	22025
367.14752	21894
367.16821	21935
367.1889	21709
367.20956	21599
367.23026	21692
367.25095	21858
367.27161	21660
367.2923	21731
367.31299	21739
367.33368	21784
367.35434	21708
367.37503	21781
367.39572	21747
367.41638	21828
367.43707	21755
367.45776	21619
367.47842	21620
367.49911	21588
367.51981	21536
367.54047	21542
367.56116	21630
367.58182	21680
367.60251	21796
367.6232	21849
367.64386	21764
367.66455	21680
367.68521	21722
367.7059	21891
367.72656	21863
367.74725	21937
367.76794	21910
367.7886	21898
367.8093	21896
367.82996	21812
367.85065	21745
367.87131	21765
367.892	21843
367.91266	21918
367.93335	21954
367.95401	21787
367.9747	21813
367.99536	21737
368.01605	21733
368.03671	21811
368.05737	21874
368.07806	21908
368.09872	21803
368.11942	21717
368.14008	21673
368.16077	21798
368.18143	21924
368.20209	21927
368.22278	21938
368.24344	21927
368.2641	21879
368.28479	21902
368.30545	21870
368.32614	21767
368.3468	21681
368.36746	21491
368.38815	21390
368.40881	21349
368.42947	21287
368.45013	21259
368.47083	21219
368.49149	21216
368.51215	21191
368.53284	21146
368.5535	21216
368.57416	21106
368.59482	21133
368.61551	21133
368.63617	21275
368.65683	21439
368.67749	21557
368.69818	21568
368.71884	21560
368.7395	21654
368.76016	21444
368.78082	21241
368.80151	21277
368.82217	21301
368.84283	21423
368.86349	21301
368.88416	21210
368.90482	21122
368.92548	21179
368.94617	21075
368.96683	21073
368.98749	21323
369.00815	21442
369.02881	21391
369.04947	21146
369.07013	21151
369.09079	21455
369.11145	21593
369.13211	21686
369.1528	21776
369.17346	21784
369.19412	21753
369.21478	21601
369.23544	21665
369.2561	21580
369.27676	21529
369.29742	21669
369.31808	21765
369.33875	21817
369.35941	21770
