Date and Time:                Mon Apr 25 13:11:48.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         120
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              397
Grating Groove Density (l/mm):2400
Grating Blaze:                BH
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



388.1459	620
388.15466	601
388.16342	589
388.17215	590
388.18091	602
388.18967	601
388.19843	585
388.20715	597
388.21591	567
388.22467	584
388.2334	581
388.24216	605
388.25092	583
388.25967	581
388.2684	580
388.27716	579
388.28592	589
388.29465	570
388.30341	621
388.31216	583
388.32089	570
388.32965	584
388.33838	589
388.34714	575
388.3559	577
388.36462	588
388.37338	580
388.38214	563
388.39087	551
388.39963	569
388.40836	542
388.41711	574
388.42587	564
388.4346	575
388.44336	578
388.45209	592
388.46085	572
388.46957	579
388.47833	580
388.48706	591
388.49582	555
388.50455	582
388.51331	565
388.52203	577
388.53079	578
388.53952	578
388.54828	567
388.55701	548
388.56577	594
388.57449	568
388.58325	565
388.59198	564
388.60074	565
388.60947	571
388.61823	570
388.62695	583
388.63571	566
388.64444	592
388.65317	577
388.66193	552
388.67065	579
388.67941	544
388.68814	613
388.69687	548
388.70563	560
388.71436	549
388.72311	563
388.73184	567
388.74057	596
388.74933	580
388.75806	554
388.76678	556
388.77554	593
388.78427	554
388.793	577
388.80176	574
388.81049	576
388.81921	547
388.82797	556
388.8367	566
388.84543	543
388.85416	571
388.86292	550
388.87164	545
388.88037	544
388.88913	561
388.89786	553
388.90659	561
388.91531	555
388.92407	562
388.9328	564
388.94153	544
388.95026	558
388.95898	554
388.96774	544
388.97647	541
388.9852	571
388.99393	555
389.00266	552
389.01141	538
389.02014	540
389.02887	525
389.0376	535
389.04633	549
389.05505	530
389.06378	539
389.07254	537
389.08127	554
389.09	567
389.09872	580
389.10745	536
389.11618	539
389.12491	536
389.13364	532
389.14236	545
389.15112	542
389.15985	540
389.16858	551
389.17731	544
389.18604	561
389.19476	521
389.20349	529
389.21222	532
389.22095	537
389.22968	528
389.2384	564
389.24713	539
389.25586	518
389.26459	529
389.27332	550
389.28204	542
389.29077	539
389.2995	516
389.30823	538
