Date and Time:                Mon Apr 25 12:58:37.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.12
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              397
Grating Groove Density (l/mm):2400
Grating Blaze:                BH
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



388.1459	301
388.15466	300
388.16342	303
388.17215	303
388.18091	301
388.18967	305
388.19843	302
388.20715	310
388.21591	309
388.22467	302
388.2334	302
388.24216	304
388.25092	306
388.25967	299
388.2684	299
388.27716	302
388.28592	297
388.29465	295
388.30341	302
388.31216	298
388.32089	299
388.32965	301
388.33838	298
388.34714	302
388.3559	302
388.36462	300
388.37338	296
388.38214	305
388.39087	298
388.39963	301
388.40836	300
388.41711	296
388.42587	299
388.4346	298
388.44336	297
388.45209	300
388.46085	305
388.46957	301
388.47833	307
388.48706	303
388.49582	300
388.50455	307
388.51331	301
388.52203	305
388.53079	299
388.53952	308
388.54828	301
388.55701	301
388.56577	299
388.57449	301
388.58325	301
388.59198	303
388.60074	308
388.60947	302
388.61823	302
388.62695	301
388.63571	302
388.64444	302
388.65317	294
388.66193	304
388.67065	304
388.67941	303
388.68814	305
388.69687	300
388.70563	300
388.71436	309
388.72311	307
388.73184	294
388.74057	307
388.74933	304
388.75806	301
388.76678	302
388.77554	304
388.78427	299
388.793	298
388.80176	300
388.81049	299
388.81921	295
388.82797	305
388.8367	305
388.84543	301
388.85416	302
388.86292	300
388.87164	301
388.88037	298
388.88913	300
388.89786	302
388.90659	300
388.91531	303
388.92407	295
388.9328	305
388.94153	300
388.95026	301
388.95898	305
388.96774	295
388.97647	300
388.9852	298
388.99393	303
389.00266	297
389.01141	302
389.02014	301
389.02887	300
389.0376	301
389.04633	309
389.05505	305
389.06378	303
389.07254	299
389.08127	299
389.09	302
389.09872	299
389.10745	303
389.11618	301
389.12491	293
389.13364	306
389.14236	300
389.15112	302
389.15985	299
389.16858	305
389.17731	300
389.18604	302
389.19476	302
389.20349	299
389.21222	299
389.22095	303
389.22968	302
389.2384	300
389.24713	297
389.25586	302
389.26459	300
389.27332	303
389.28204	305
389.29077	296
389.2995	303
389.30823	298
