Date and Time:                Mon Apr 25 12:46:12.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.8
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              397
Grating Groove Density (l/mm):2400
Grating Blaze:                BH
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



388.1459	301
388.15466	307
388.16342	307
388.17215	297
388.18091	300
388.18967	308
388.19843	301
388.20715	298
388.21591	304
388.22467	302
388.2334	301
388.24216	301
388.25092	299
388.25967	297
388.2684	304
388.27716	302
388.28592	304
388.29465	304
388.30341	307
388.31216	304
388.32089	309
388.32965	306
388.33838	308
388.34714	301
388.3559	305
388.36462	305
388.37338	299
388.38214	307
388.39087	303
388.39963	304
388.40836	299
388.41711	307
388.42587	299
388.4346	296
388.44336	298
388.45209	303
388.46085	296
388.46957	304
388.47833	301
388.48706	310
388.49582	304
388.50455	310
388.51331	303
388.52203	300
388.53079	306
388.53952	304
388.54828	299
388.55701	303
388.56577	297
388.57449	303
388.58325	302
388.59198	305
388.60074	303
388.60947	303
388.61823	304
388.62695	303
388.63571	298
388.64444	306
388.65317	301
388.66193	301
388.67065	306
388.67941	302
388.68814	312
388.69687	301
388.70563	307
388.71436	302
388.72311	309
388.73184	300
388.74057	309
388.74933	299
388.75806	300
388.76678	301
388.77554	301
388.78427	301
388.793	302
388.80176	306
388.81049	305
388.81921	301
388.82797	304
388.8367	302
388.84543	302
388.85416	305
388.86292	301
388.87164	301
388.88037	307
388.88913	305
388.89786	306
388.90659	302
388.91531	302
388.92407	301
388.9328	301
388.94153	301
388.95026	296
388.95898	304
388.96774	294
388.97647	300
388.9852	302
388.99393	304
389.00266	306
389.01141	300
389.02014	302
389.02887	299
389.0376	307
389.04633	302
389.05505	297
389.06378	306
389.07254	301
389.08127	301
389.09	302
389.09872	301
389.10745	305
389.11618	299
389.12491	301
389.13364	300
389.14236	305
389.15112	299
389.15985	304
389.16858	303
389.17731	306
389.18604	300
389.19476	305
389.20349	306
389.21222	303
389.22095	299
389.22968	307
389.2384	302
389.24713	305
389.25586	312
389.26459	303
389.27332	305
389.28204	299
389.29077	300
389.2995	307
389.30823	298
