Date and Time:                Mon Apr 25 12:45:25.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.8
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              397
Grating Groove Density (l/mm):2400
Grating Blaze:                BH
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



388.1459	299
388.15466	308
388.16342	299
388.17215	306
388.18091	299
388.18967	306
388.19843	299
388.20715	302
388.21591	302
388.22467	303
388.2334	303
388.24216	305
388.25092	299
388.25967	310
388.2684	301
388.27716	304
388.28592	300
388.29465	295
388.30341	299
388.31216	306
388.32089	301
388.32965	306
388.33838	300
388.34714	304
388.3559	297
388.36462	300
388.37338	307
388.38214	304
388.39087	299
388.39963	303
388.40836	306
388.41711	300
388.42587	303
388.4346	306
388.44336	304
388.45209	297
388.46085	302
388.46957	304
388.47833	300
388.48706	300
388.49582	304
388.50455	298
388.51331	302
388.52203	302
388.53079	307
388.53952	305
388.54828	301
388.55701	309
388.56577	297
388.57449	305
388.58325	303
388.59198	298
388.60074	301
388.60947	308
388.61823	300
388.62695	304
388.63571	299
388.64444	304
388.65317	302
388.66193	304
388.67065	299
388.67941	302
388.68814	304
388.69687	302
388.70563	304
388.71436	305
388.72311	295
388.73184	307
388.74057	299
388.74933	299
388.75806	303
388.76678	301
388.77554	306
388.78427	304
388.793	305
388.80176	307
388.81049	299
388.81921	291
388.82797	305
388.8367	301
388.84543	305
388.85416	304
388.86292	300
388.87164	298
388.88037	303
388.88913	300
388.89786	308
388.90659	304
388.91531	298
388.92407	302
388.9328	301
388.94153	298
388.95026	308
388.95898	306
388.96774	302
388.97647	305
388.9852	299
388.99393	304
389.00266	302
389.01141	302
389.02014	303
389.02887	296
389.0376	299
389.04633	306
389.05505	302
389.06378	307
389.07254	304
389.08127	300
389.09	300
389.09872	301
389.10745	300
389.11618	300
389.12491	303
389.13364	304
389.14236	308
389.15112	302
389.15985	301
389.16858	300
389.17731	297
389.18604	298
389.19476	303
389.20349	306
389.21222	306
389.22095	301
389.22968	299
389.2384	301
389.24713	308
389.25586	294
389.26459	305
389.27332	301
389.28204	300
389.29077	304
389.2995	300
389.30823	299
