Date and Time:                Mon Apr 25 12:44:35.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.8
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              397
Grating Groove Density (l/mm):2400
Grating Blaze:                BH
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



388.1459	302
388.15466	300
388.16342	306
388.17215	304
388.18091	304
388.18967	299
388.19843	308
388.20715	304
388.21591	305
388.22467	305
388.2334	301
388.24216	307
388.25092	301
388.25967	303
388.2684	307
388.27716	303
388.28592	303
388.29465	301
388.30341	302
388.31216	305
388.32089	309
388.32965	302
388.33838	306
388.34714	301
388.3559	305
388.36462	303
388.37338	299
388.38214	296
388.39087	298
388.39963	303
388.40836	297
388.41711	298
388.42587	299
388.4346	306
388.44336	304
388.45209	302
388.46085	308
388.46957	296
388.47833	307
388.48706	304
388.49582	299
388.50455	304
388.51331	304
388.52203	300
388.53079	301
388.53952	308
388.54828	305
388.55701	302
388.56577	305
388.57449	307
388.58325	300
388.59198	309
388.60074	303
388.60947	297
388.61823	306
388.62695	306
388.63571	300
388.64444	300
388.65317	305
388.66193	305
388.67065	303
388.67941	303
388.68814	305
388.69687	300
388.70563	300
388.71436	299
388.72311	307
388.73184	304
388.74057	304
388.74933	304
388.75806	298
388.76678	303
388.77554	303
388.78427	298
388.793	299
388.80176	301
388.81049	301
388.81921	303
388.82797	296
388.8367	307
388.84543	302
388.85416	305
388.86292	302
388.87164	304
388.88037	303
388.88913	301
388.89786	304
388.90659	301
388.91531	303
388.92407	301
388.9328	296
388.94153	300
388.95026	303
388.95898	304
388.96774	297
388.97647	306
388.9852	306
388.99393	300
389.00266	301
389.01141	305
389.02014	306
389.02887	306
389.0376	304
389.04633	303
389.05505	310
389.06378	304
389.07254	302
389.08127	298
389.09	300
389.09872	301
389.10745	301
389.11618	303
389.12491	299
389.13364	302
389.14236	297
389.15112	300
389.15985	305
389.16858	306
389.17731	305
389.18604	304
389.19476	306
389.20349	306
389.21222	297
389.22095	300
389.22968	304
389.2384	299
389.24713	301
389.25586	302
389.26459	303
389.27332	300
389.28204	307
389.29077	301
389.2995	305
389.30823	306
