Date and Time:                Mon Apr 25 13:26:18.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         120
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              397
Grating Groove Density (l/mm):2400
Grating Blaze:                BH
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



388.1459	670
388.15466	653
388.16342	628
388.17215	628
388.18091	644
388.18967	632
388.19843	630
388.20715	635
388.21591	615
388.22467	625
388.2334	638
388.24216	644
388.25092	632
388.25967	627
388.2684	621
388.27716	627
388.28592	626
388.29465	622
388.30341	659
388.31216	630
388.32089	620
388.32965	618
388.33838	625
388.34714	626
388.3559	610
388.36462	634
388.37338	618
388.38214	622
388.39087	603
388.39963	603
388.40836	596
388.41711	619
388.42587	621
388.4346	625
388.44336	624
388.45209	634
388.46085	624
388.46957	620
388.47833	636
388.48706	630
388.49582	605
388.50455	615
388.51331	603
388.52203	609
388.53079	632
388.53952	629
388.54828	619
388.55701	607
388.56577	635
388.57449	612
388.58325	599
388.59198	618
388.60074	604
388.60947	614
388.61823	635
388.62695	631
388.63571	621
388.64444	650
388.65317	615
388.66193	608
388.67065	639
388.67941	597
388.68814	656
388.69687	597
388.70563	606
388.71436	597
388.72311	606
388.73184	613
388.74057	653
388.74933	618
388.75806	616
388.76678	614
388.77554	653
388.78427	614
388.793	618
388.80176	622
388.81049	623
388.81921	597
388.82797	599
388.8367	613
388.84543	607
388.85416	626
388.86292	598
388.87164	607
388.88037	592
388.88913	636
388.89786	781
388.90659	606
388.91531	602
388.92407	613
388.9328	607
388.94153	592
388.95026	609
388.95898	599
388.96774	593
388.97647	589
388.9852	623
388.99393	601
389.00266	587
389.01141	582
389.02014	586
389.02887	578
389.0376	595
389.04633	598
389.05505	578
389.06378	595
389.07254	588
389.08127	595
389.09	631
389.09872	624
389.10745	589
389.11618	582
389.12491	584
389.13364	581
389.14236	597
389.15112	590
389.15985	587
389.16858	613
389.17731	583
389.18604	602
389.19476	575
389.20349	575
389.21222	583
389.22095	592
389.22968	574
389.2384	622
389.24713	595
389.25586	578
389.26459	574
389.27332	609
389.28204	589
389.29077	593
389.2995	572
389.30823	581
